source_set,dataset,folder_name,attack_type,attack_family,mode,mode_inferred,model_norm,poison_rate,train_param_value,test_param_type,test_param_value,target_label,poison_seed,delta,eps,f,upgd_steps,upgd_steps_multiplier,alpha,cover_rate,stealth_tpr_avg,stealth_auc_avg,transfer_rate,asr,nc_max_anomaly_index,nc_is_poisoned,S_stealth,S_stealth_tpr
baseline,cifar10,SIG_0.005_delta=4_f=6_poison_seed=2333_arch=mobilenetv2_cifar10,SIG,sig,unknown,True,mobilenet,0.005,4.0,test_delta,4.0,,2333,4.0,,6.0,,,,,0.8840474537037037,0.45815837334816156,0.026562,0.011260948144028917,7.5940937995910645,True,,
new,cifar10,SIG_0.005_delta=4_f=6_mode=all2one_poison_seed=2333_arch=mobilenetv2_cifar10,SIG,sig,all-to-one,False,mobilenet,0.005,4.0,test_delta,4.0,0,2333,4.0,,6.0,,,,,0.9338287337662338,0.5303764449586842,0.044219,0.010704851939385513,2.6261017322540283,False,,
baseline,cifar10,SIG_0.005_delta=12_f=6_poison_seed=2333_arch=mobilenetv2_cifar10,SIG,sig,unknown,True,mobilenet,0.005,12.0,test_delta,12.0,,2333,12.0,,6.0,,,,,0.8590369094488189,0.471304535304238,0.043125,0.017656054497428054,2.0042884349823,False,,
new,cifar10,SIG_0.005_delta=12_f=6_mode=all2one_poison_seed=2333_arch=mobilenetv2_cifar10,SIG,sig,all-to-one,False,mobilenet,0.005,12.0,test_delta,12.0,0,2333,12.0,,6.0,,,,,0.6235621034892942,0.37892613205434267,0.57875,0.8765466425691645,3.9442591667175293,True,,
baseline,cifar10,SIG_0.005_delta=20_f=6_poison_seed=2333_arch=mobilenetv2_cifar10,SIG,sig,unknown,True,mobilenet,0.005,20.0,test_delta,20.0,,2333,20.0,,6.0,,,,,0.8708228820598006,0.49448888793891055,0.141094,0.1255387181982483,7.2951579093933105,False,,
new,cifar10,SIG_0.005_delta=20_f=6_mode=all2one_poison_seed=2333_arch=mobilenetv2_cifar10,SIG,sig,all-to-one,False,mobilenet,0.005,20.0,test_delta,20.0,0,2333,20.0,,6.0,,,,,0.6896383826879271,0.3967519403266182,0.948125,0.9765049353538162,,,,
baseline,cifar10,SIG_0.005_delta=28_f=6_poison_seed=2333_arch=mobilenetv2_cifar10,SIG,sig,unknown,True,mobilenet,0.005,28.0,test_delta,28.0,,2333,28.0,,6.0,,,,,0.8083931142909223,0.515608853707429,0.27625,0.3813429723342138,3.0566868782043457,False,,
new,cifar10,SIG_0.005_delta=28_f=6_mode=all2one_poison_seed=2333_arch=mobilenetv2_cifar10,SIG,sig,all-to-one,False,mobilenet,0.005,28.0,test_delta,28.0,0,2333,28.0,,6.0,,,,,0.7729645360715796,0.3995871365284739,0.934063,0.9866536910885583,,,,
baseline,cifar10,SIG_0.005_delta=36_f=6_poison_seed=2333_arch=mobilenetv2_cifar10,SIG,sig,unknown,True,mobilenet,0.005,36.0,test_delta,36.0,,2333,36.0,,6.0,,,,,0.8315141265314745,0.5066598132506213,0.428438,0.6581398581954678,3.8692617416381836,False,,
new,cifar10,SIG_0.005_delta=36_f=6_mode=all2one_poison_seed=2333_arch=mobilenetv2_cifar10,SIG,sig,all-to-one,False,mobilenet,0.005,36.0,test_delta,36.0,0,2333,36.0,,6.0,,,,,0.8096821843912008,0.5505201543260406,0.927031,0.9922146531349924,,,,
baseline,cifar10,SIG_0.005_delta=44_f=6_poison_seed=2333_arch=mobilenetv2_cifar10,SIG,sig,unknown,True,mobilenet,0.005,44.0,test_delta,44.0,,2333,44.0,,6.0,,,,,0.6608753998468192,0.4680380544345757,0.442812,0.7714444598915612,1.5491907596588135,False,,
new,cifar10,SIG_0.005_delta=44_f=6_mode=all2one_poison_seed=2333_arch=mobilenetv2_cifar10,SIG,sig,all-to-one,False,mobilenet,0.005,44.0,test_delta,44.0,0,2333,44.0,,6.0,,,,,0.754082341825308,0.4447634327776736,0.9725,0.9931878214931184,,,,
baseline,cifar10,SIG_0.005_delta=56_f=6_poison_seed=2333_arch=mobilenetv2_cifar10,SIG,sig,unknown,True,mobilenet,0.005,56.0,test_delta,56.0,,2333,56.0,,6.0,,,,,0.5790232286096257,0.49568383816546724,0.615313,0.9099124148477686,5.114983081817627,False,,
new,cifar10,SIG_0.005_delta=56_f=6_mode=all2one_poison_seed=2333_arch=mobilenetv2_cifar10,SIG,sig,all-to-one,False,mobilenet,0.005,56.0,test_delta,56.0,0,2333,56.0,,6.0,,,,,0.5114035155157953,0.27138089945444255,0.975313,0.9945780620047269,,,,
baseline,cifar10,SIG_0.010_delta=4_f=6_poison_seed=2333_arch=mobilenetv2_cifar10,SIG,sig,unknown,True,mobilenet,0.01,4.0,test_delta,4.0,,2333,4.0,,6.0,,,,,0.8982291666666666,0.48482797642132747,0.031719,0.00834144306965105,4.1282639503479,False,,
new,cifar10,SIG_0.010_delta=4_f=6_mode=all2one_poison_seed=2333_arch=mobilenetv2_cifar10,SIG,sig,all-to-one,False,mobilenet,0.01,4.0,test_delta,4.0,0,2333,4.0,,6.0,,,,,0.8993859577922078,0.5035980792887313,0.040313,0.010704851939385513,2.4869935512542725,False,,
