dataset,attack_family,defense,tpr_delta,auc_delta
cifar10,sig,IBD_PSC,0.3104246031746032,0.18601154873511894
cifar10,sig,SCaLe-Up,0.1967284026292131,0.12497771957136428
cifar10,sig,STRIP,0.13095039682539678,0.1477821928323415
cifar10,sig,SentiNet,-0.006880952380952363,0.008971182539682376
cifar10,upgd,IBD_PSC,0.10497222222222219,0.09736419845920108
cifar10,upgd,SCaLe-Up,0.17831688838655435,0.1066743041638496
cifar10,upgd,STRIP,0.4332135416666667,0.25322330436197893
cifar10,upgd,SentiNet,0.16548611111111106,0.09489984027777754
mnistm,sig,IBD_PSC,0.3208789682539682,0.27868626041666694
mnistm,sig,SCaLe-Up,0.3363148044240265,0.2878744664815911
mnistm,sig,STRIP,0.38990476190476203,0.26084932924107157
mnistm,sig,SentiNet,0.005293650793650795,0.0027256666666666263
mnistm,upgd,IBD_PSC,0.3670850694444441,0.23483306304253465
mnistm,upgd,SCaLe-Up,0.18973418565673347,0.17130002721809912
mnistm,upgd,STRIP,0.49492708333333335,0.3811046871744789
mnistm,upgd,SentiNet,0.027583333333333362,0.06554252951388867
tiny_imagenet,sig,IBD_PSC,0.010928571428571454,0.14054089527529767
tiny_imagenet,sig,SCaLe-Up,0.09138298754147822,0.11677049130111694
tiny_imagenet,sig,STRIP,0.2798690476190476,0.20373878069196438
tiny_imagenet,sig,SentiNet,0.019785714285714302,0.036549901785713934
tiny_imagenet,upgd,IBD_PSC,0.10171875000000005,0.19065721647135458
tiny_imagenet,upgd,SCaLe-Up,0.10876247317009252,0.12795714160599964
tiny_imagenet,upgd,STRIP,0.348234375,0.2260542874348963
tiny_imagenet,upgd,SentiNet,0.006093749999999953,0.006379645833333281
