mode,dataset,attack_family,n,transfer_rate_mean,stealth_auc_mean,stealth_tpr_mean
all-to-one,cifar10,sig,63,0.8594023174603174,0.3375205799339118,0.5857467930244977
all-to-one,cifar10,upgd,72,0.9702538472222222,0.18133109235088465,0.35163198649111405
all-to-one,mnistm,sig,63,0.7564343015873016,0.3706181591254087,0.5642254469927172
all-to-one,mnistm,upgd,72,0.9950853611111109,0.34820297138551853,0.5436414664790421
all-to-one,tiny_imagenet,sig,42,0.6929169047619047,0.381361395550715,0.7988585634819801
all-to-one,tiny_imagenet,upgd,48,0.7753769791666669,0.36173920959027167,0.7571417712695854
clean-label,cifar10,sig,63,0.47715287301587295,0.4544562408535385,0.7435524055865628
clean-label,cifar10,upgd,72,0.7776171666666668,0.3193715041665866,0.5721291773377529
clean-label,mnistm,sig,63,0.0025835714285714303,0.5781520898269075,0.827323493336819
clean-label,mnistm,upgd,72,0.3927508333333333,0.561398048122769,0.8134738844210038
clean-label,tiny_imagenet,sig,42,0.48718588095238097,0.5057614128142383,0.8993501437006831
clean-label,tiny_imagenet,upgd,48,0.5213986875,0.4995012824266675,0.8983441083121083
