group_id,point_id,attack_type,trigger_type,poison_rate,train_param_type,train_param_value,test_param_type,test_param_value,attack_rate,stealth_rate,transfer_rate,cover_rate
1,1,SIG,SIG,0.03,delta,12.0,test_delta,16.0,0.5583205894619769,0.8984835820895523,0.410781,
1,2,SIG,SIG,0.03,delta,12.0,test_delta,20.0,0.6962324482135409,0.9064790805665197,0.496719,
1,3,SIG,SIG,0.03,delta,12.0,test_delta,24.0,0.7768663978868344,0.6561782265144864,0.572031,
1,4,SIG,SIG,0.03,delta,12.0,test_delta,28.0,0.8292784651744752,0.8646861817535124,0.6275,
1,5,SIG,SIG,0.03,delta,12.0,test_delta,32.0,0.8577783956624496,0.6281554443053818,0.66875,
1,6,SIG,SIG,0.03,delta,12.0,test_delta,36.0,0.871402752676213,0.6646874902022262,0.699531,
2,1,SIG,SIG,0.03,delta,16.0,test_delta,20.0,0.6653691088558321,0.902325725563037,0.0,
2,2,SIG,SIG,0.03,delta,16.0,test_delta,24.0,0.8057834005282914,0.6568109745390693,0.0,
2,3,SIG,SIG,0.03,delta,16.0,test_delta,28.0,0.8886417350201585,0.6726928863595946,0.0,
2,4,SIG,SIG,0.03,delta,16.0,test_delta,32.0,0.9352147921590435,0.6155302878598249,0.0,
2,5,SIG,SIG,0.03,delta,16.0,test_delta,36.0,0.9606561935214792,0.6671680200658411,0.79,
3,1,SIG,SIG,0.03,delta,20.0,test_delta,20.0,0.5987765883497845,0.8997395635012769,0.0,
3,2,SIG,SIG,0.03,delta,20.0,test_delta,24.0,0.7629639927707493,0.6505925373134329,0.0,
3,3,SIG,SIG,0.03,delta,20.0,test_delta,28.0,0.8687612957041568,0.9709166992708518,0.0,
3,4,SIG,SIG,0.03,delta,20.0,test_delta,32.0,0.9257611566801056,0.7752265331664582,0.0,
3,5,SIG,SIG,0.03,delta,20.0,test_delta,36.0,0.9584318087029056,0.6695231384229503,0.7575,
4,1,SIG,SIG,0.03,delta,24.0,test_delta,20.0,0.6054497428055053,0.9067756210819596,0.405313,
4,2,SIG,SIG,0.03,delta,24.0,test_delta,24.0,0.7917419713610455,0.652384811237928,0.560937,
4,3,SIG,SIG,0.03,delta,24.0,test_delta,28.0,0.9035173084943695,0.7712481771296461,0.695625,
