dataset,arch,group_id,point_id,attack_type,trigger_type,poison_rate,train_param_value,alpha,test_param_type,test_param_value,stealth_tpr_avg,stealth_auc_avg,transfer_rate,asr,cover_rate
cifar10,resnet18,1,1,SIG,SIG,0.005,4.0,,test_delta,4.0,0.9261774193548387,0.5241824391816216,0.057813,0.004309745585986376,
cifar10,resnet18,2,1,SIG,SIG,0.005,12.0,,test_delta,12.0,0.907516369047619,0.5329325083668224,0.094062,0.07298762685944668,
cifar10,resnet18,3,1,SIG,SIG,0.005,20.0,,test_delta,20.0,0.8675636254501801,0.47798457206813305,0.288438,0.46322813846795496,
cifar10,resnet18,4,1,SIG,SIG,0.005,28.0,,test_delta,28.0,0.8264289719296596,0.4820170215656412,0.407656,0.7391908800222439,
cifar10,resnet18,5,1,SIG,SIG,0.005,36.0,,test_delta,36.0,0.5646230793916291,0.4756836893098424,0.486563,0.8935075768107883,
cifar10,resnet18,6,1,SIG,SIG,0.005,44.0,,test_delta,44.0,0.7762416530339084,0.3997770161376072,0.809688,0.9347977200055609,
cifar10,resnet18,7,1,SIG,SIG,0.005,56.0,,test_delta,56.0,0.5770854664287794,0.3771299191843416,0.844844,0.9545391352704018,
cifar10,resnet18,8,1,SIG,SIG,0.01,4.0,,test_delta,4.0,0.9246354166666667,0.5113223095778986,0.040938,0.00333657722786042,
cifar10,resnet18,9,1,SIG,SIG,0.01,12.0,,test_delta,12.0,0.8206269793666027,0.5078522324816925,0.196406,0.21729459196440984,
cifar10,resnet18,10,1,SIG,SIG,0.01,20.0,,test_delta,20.0,0.860993320610687,0.4863404686253481,0.340781,0.4553037675517865,
cifar10,resnet18,11,1,SIG,SIG,0.01,28.0,,test_delta,28.0,0.7926077684691546,0.4199102718775687,0.426875,0.7301543166967885,
cifar10,resnet18,12,1,SIG,SIG,0.01,36.0,,test_delta,36.0,0.8009402275561097,0.41662782734897186,0.537969,0.8919783122480189,
cifar10,resnet18,13,1,SIG,SIG,0.01,44.0,,test_delta,44.0,0.7431005411333238,0.4067276290685027,0.976094,0.9666342277213958,
cifar10,resnet18,14,1,SIG,SIG,0.01,56.0,,test_delta,56.0,0.5500290570175439,0.3746222464727902,0.916094,0.9905463645210622,
cifar10,resnet18,15,1,SIG,SIG,0.05,4.0,,test_delta,4.0,0.8399875910386321,0.5464064503738995,0.319531,0.21951897678298346,
cifar10,resnet18,16,1,SIG,SIG,0.05,12.0,,test_delta,12.0,0.8594078498293516,0.46024620924959203,0.613437,0.6517447518420687,
cifar10,resnet18,17,1,SIG,SIG,0.05,20.0,,test_delta,20.0,0.6429994986631016,0.38846601570010164,0.721406,0.8319199221465313,
cifar10,resnet18,18,1,SIG,SIG,0.05,28.0,,test_delta,28.0,0.7138955176307737,0.3472825893344348,0.92375,0.9541220631169193,
cifar10,resnet18,19,1,SIG,SIG,0.05,36.0,,test_delta,36.0,0.5240856947794014,0.30596912983869573,0.972344,0.9799805366328375,
cifar10,resnet18,20,1,SIG,SIG,0.05,44.0,,test_delta,44.0,0.565681125403622,0.35391927429661085,0.987969,0.9902683164187405,
cifar10,resnet18,21,1,SIG,SIG,0.05,56.0,,test_delta,56.0,0.6493190144030059,0.35740947207135787,0.999062,0.999026831641874,
cifar10,resnet18,22,1,WaNet,WaNet,0.005,0.4,,test_s,0.4,0.8947618153710247,0.5193334402648088,0.03,0.03934380647852079,0.01
cifar10,resnet18,23,1,WaNet,WaNet,0.005,0.6,,test_s,0.6,0.8496861207440101,0.4317124355255373,0.030625,0.5512303628527735,0.01
cifar10,resnet18,24,1,WaNet,WaNet,0.005,0.8,,test_s,0.8,0.8634690487571701,0.4292867729786678,0.027656,0.5816766300569999,0.01
cifar10,resnet18,25,1,WaNet,WaNet,0.005,1.0,,test_s,1.0,0.8224090710859137,0.4066995156288522,0.040313,0.6375642986236619,0.01
cifar10,resnet18,26,1,WaNet,WaNet,0.005,1.2,,test_s,1.2,0.8164424520249588,0.40372324905980883,0.047656,0.5904351452801334,0.01
cifar10,resnet18,27,1,WaNet,WaNet,0.005,1.4,,test_s,1.4,0.8469527620030977,0.48428662137582945,0.047031,0.5385791741971361,0.01
cifar10,resnet18,28,1,WaNet,WaNet,0.005,2.0,,test_s,2.0,0.8603674189351481,0.4519127467456441,0.098906,0.6945641595996107,0.01
cifar10,resnet18,29,1,WaNet,WaNet,0.005,4.0,,test_s,4.0,0.859462220494595,0.4139048257780995,0.61375,0.9388294174892257,0.01
cifar10,resnet18,30,1,WaNet,WaNet,0.01,0.4,,test_s,0.4,0.7109335488505747,0.5284796132849696,0.035156,0.15723620186292228,0.02
cifar10,resnet18,31,1,WaNet,WaNet,0.01,0.6,,test_s,0.6,0.784575956937799,0.37672173979070944,0.055625,0.8716808007785347,0.02
cifar10,resnet18,32,1,WaNet,WaNet,0.01,0.8,,test_s,0.8,0.6195783819498826,0.36005045132577584,0.041563,0.8876685666620325,0.02
