dataset,arch,group_id,point_id,attack_type,trigger_type,poison_rate,train_param_value,alpha,test_param_type,test_param_value,stealth_tpr_avg,stealth_auc_avg,transfer_rate,asr,cover_rate,nc_max_anomaly_index,nc_is_poisoned,S_stealth,S_stealth_tpr
cifar10,vgg,1,1,SIG,SIG,0.005,4.0,,test_delta,4.0,0.8878467261904762,0.5276081479003087,0.05125,0.005839010148755735,,2.591102123260498,false,0.422086518320247,0.710277380952381
cifar10,vgg,2,1,SIG,SIG,0.005,12.0,,test_delta,12.0,0.7429137323943662,0.4332958207520441,0.048594,0.009870707632420409,,2.6276333332061768,false,0.3466366566016353,0.5943309859154929
cifar10,vgg,3,1,SIG,SIG,0.005,20.0,,test_delta,20.0,0.8264299841772151,0.5152248957929273,0.152969,0.2745725010426804,,4.959134578704834,false,0.41217991663434184,0.6611439873417722
cifar10,vgg,4,1,SIG,SIG,0.005,28.0,,test_delta,28.0,0.5845214114530777,0.417352611877716,0.246094,0.5510913388016127,,1.1935786008834839,false,0.3338820895021728,0.4676171291624622
cifar10,vgg,5,1,SIG,SIG,0.005,36.0,,test_delta,36.0,0.6312152790569165,0.5129247272306902,0.274531,0.7547615737522592,,2.8019535541534424,false,0.41033978178455216,0.5049722232455333
cifar10,vgg,6,1,SIG,SIG,0.005,44.0,,test_delta,44.0,0.8056350502512563,0.5194182998852059,0.472813,0.885305157792298,,4.446581840515137,false,0.41553463990816475,0.644508040201005
cifar10,vgg,7,1,SIG,SIG,0.005,56.0,,test_delta,56.0,0.6722772629004821,0.5620565873971416,0.566719,0.9806756568886418,,1.7093666791915894,false,0.4496452699177133,0.5378218103203857
cifar10,vgg,8,1,SIG,SIG,0.01,4.0,,test_delta,4.0,0.7878150510204082,0.4424787361156003,0.049219,0.006812178506881691,,4.394678592681885,false,0.35398298889248025,0.6302520408163266
cifar10,vgg,9,1,SIG,SIG,0.01,12.0,,test_delta,12.0,0.8414991987179488,0.46279625378497535,0.142031,0.11928263589601001,,1.7763475179672241,false,0.3702370030279803,0.673199358974359
cifar10,vgg,10,1,SIG,SIG,0.01,20.0,,test_delta,20.0,0.6473723267199176,0.4013298145617603,0.342344,0.5395523425552621,,4.526753902435303,true,0.46656558565602707,0.6633995953825529
cifar10,vgg,11,1,SIG,SIG,0.01,28.0,,test_delta,28.0,0.7989869744058501,0.5006677168254161,0.424375,0.760461559849854,,4.69638729095459,false,0.40053417346033293,0.6391895795246801
cifar10,vgg,12,1,SIG,SIG,0.01,36.0,,test_delta,36.0,0.6620883360193393,0.4204985980367565,0.46125,0.8626442374530794,,7.312988758087158,true,0.4210879443435125,0.6143597347295787
cifar10,vgg,13,1,SIG,SIG,0.01,44.0,,test_delta,44.0,0.4789290519570615,0.2815097609642737,0.819063,0.9518976782983456,,2.722630023956299,false,0.225207808771419,0.3831432415656492
cifar10,vgg,14,1,SIG,SIG,0.01,56.0,,test_delta,56.0,0.8221167979354194,0.5729528267842515,0.861563,0.973029334074795,,2.3482203483581543,false,0.4583622614274012,0.6576934383483355
cifar10,vgg,15,1,SIG,SIG,0.05,4.0,,test_delta,4.0,0.8257673611111112,0.5328633410781343,0.057344,0.01000973168358126,,2.4305856227874756,false,0.42629067286250744,0.660613888888889
cifar10,vgg,16,1,SIG,SIG,0.05,12.0,,test_delta,12.0,0.7533567880794703,0.49210776954897284,0.444219,0.4198526345057695,,3.0295350551605225,false,0.39368621563917827,0.6026854304635763
cifar10,vgg,17,1,SIG,SIG,0.05,20.0,,test_delta,20.0,0.6197851441812564,0.49661975868207,0.681719,0.6749617683859308,,2.9218947887420654,false,0.397295806945656,0.49582811534500515
cifar10,vgg,18,1,SIG,SIG,0.05,28.0,,test_delta,28.0,0.610197198275862,0.40875446882829325,0.860781,0.8063394967329348,,1.2687519788742065,false,0.3270035750626346,0.48815775862068966
cifar10,vgg,19,1,SIG,SIG,0.05,36.0,,test_delta,36.0,0.6100008617988091,0.409753788874782,0.907969,0.88725149450855,,1.6558146476745605,false,0.3278030310998256,0.4880006894390473
cifar10,vgg,20,1,SIG,SIG,0.05,44.0,,test_delta,44.0,0.56235360094451,0.3619334336630664,0.914844,0.9420269706659252,,5.468559741973877,false,0.2895467469304531,0.44988288075560806
cifar10,vgg,21,1,SIG,SIG,0.05,56.0,,test_delta,56.0,0.5141188656758273,0.32636146066822447,0.949844,0.9915195328791881,,3.9639968872070312,true,0.41887369898758864,0.569079622993671
