dataset,arch,group_id,point_id,attack_type,trigger_type,poison_rate,train_param_value,test_param_type,test_param_value,stealth_tpr_avg,stealth_auc_avg,transfer_rate,asr,cover_rate
cifar10,vgg,1,1,SIG,SIG,0.005,4.0,test_delta,4.0,0.8878467261904762,0.5276081479003087,0.05125,0.005839010148755735,
cifar10,vgg,2,1,SIG,SIG,0.005,12.0,test_delta,12.0,0.7429137323943662,0.4332958207520441,0.048594,0.009870707632420409,
cifar10,vgg,3,1,SIG,SIG,0.005,20.0,test_delta,20.0,0.8264299841772151,0.5152248957929273,0.152969,0.2745725010426804,
cifar10,vgg,4,1,SIG,SIG,0.005,28.0,test_delta,28.0,0.5845214114530777,0.417352611877716,0.246094,0.5510913388016127,
cifar10,vgg,5,1,SIG,SIG,0.005,36.0,test_delta,36.0,0.6312152790569165,0.5129247272306902,0.274531,0.7547615737522592,
cifar10,vgg,6,1,SIG,SIG,0.005,44.0,test_delta,44.0,0.8056350502512563,0.5194182998852059,0.472813,0.885305157792298,
cifar10,vgg,7,1,SIG,SIG,0.005,56.0,test_delta,56.0,0.6722772629004821,0.5620565873971416,0.566719,0.9806756568886418,
cifar10,vgg,8,1,SIG,SIG,0.01,4.0,test_delta,4.0,0.7878150510204082,0.4424787361156003,0.049219,0.006812178506881691,
cifar10,vgg,9,1,SIG,SIG,0.01,12.0,test_delta,12.0,0.8414991987179488,0.46279625378497535,0.142031,0.11928263589601001,
cifar10,vgg,10,1,SIG,SIG,0.01,20.0,test_delta,20.0,0.6473723267199176,0.4013298145617603,0.342344,0.5395523425552621,
cifar10,vgg,11,1,SIG,SIG,0.01,28.0,test_delta,28.0,0.7989869744058501,0.5006677168254161,0.424375,0.760461559849854,
cifar10,vgg,12,1,SIG,SIG,0.01,36.0,test_delta,36.0,0.6620883360193393,0.4204985980367565,0.46125,0.8626442374530794,
cifar10,vgg,13,1,SIG,SIG,0.01,44.0,test_delta,44.0,0.4789290519570615,0.2815097609642737,0.819063,0.9518976782983456,
cifar10,vgg,14,1,SIG,SIG,0.01,56.0,test_delta,56.0,0.8221167979354194,0.5729528267842515,0.861563,0.973029334074795,
cifar10,vgg,15,1,SIG,SIG,0.05,4.0,test_delta,4.0,0.8257673611111112,0.5328633410781343,0.057344,0.01000973168358126,
cifar10,vgg,16,1,SIG,SIG,0.05,12.0,test_delta,12.0,0.7533567880794703,0.49210776954897284,0.444219,0.4198526345057695,
cifar10,vgg,17,1,SIG,SIG,0.05,20.0,test_delta,20.0,0.6197851441812564,0.49661975868207,0.681719,0.6749617683859308,
cifar10,vgg,18,1,SIG,SIG,0.05,28.0,test_delta,28.0,0.610197198275862,0.40875446882829325,0.860781,0.8063394967329348,
cifar10,vgg,19,1,SIG,SIG,0.05,36.0,test_delta,36.0,0.6100008617988091,0.409753788874782,0.907969,0.88725149450855,
cifar10,vgg,20,1,SIG,SIG,0.05,44.0,test_delta,44.0,0.56235360094451,0.3619334336630664,0.914844,0.9420269706659252,
cifar10,vgg,21,1,SIG,SIG,0.05,56.0,test_delta,56.0,0.5141188656758273,0.32636146066822447,0.949844,0.9915195328791881,
cifar10,vgg,22,1,WaNet,WaNet,0.005,0.4,test_s,0.4,0.7631383495145632,0.4405001456001957,0.034375,0.02863895453913527,0.01
cifar10,vgg,23,1,WaNet,WaNet,0.005,0.6,test_s,0.6,0.6538570333787466,0.5561382297866115,0.036719,0.1020436535520645,0.01
cifar10,vgg,24,1,WaNet,WaNet,0.005,0.8,test_s,0.8,0.8156749802839116,0.4792204945868208,0.032344,0.2644237453079383,0.01
cifar10,vgg,25,1,WaNet,WaNet,0.005,1.0,test_s,1.0,0.8367918252961083,0.4955514902441993,0.028594,0.32865285694425134,0.01
cifar10,vgg,26,1,WaNet,WaNet,0.005,1.2,test_s,1.2,0.7934822515212983,0.4454532800049862,0.038594,0.2741554288891978,0.01
cifar10,vgg,27,1,WaNet,WaNet,0.005,1.4,test_s,1.4,0.8003614264400623,0.5176744522490979,0.040938,0.2678993465869595,0.01
cifar10,vgg,28,1,WaNet,WaNet,0.005,2.0,test_s,2.0,0.8135100745238752,0.48696894287972525,0.067187,0.5036841373557626,0.01
cifar10,vgg,29,1,WaNet,WaNet,0.005,4.0,test_s,4.0,0.5241971293334325,0.4412856908852255,0.628281,0.9343806478520784,0.01
cifar10,vgg,30,1,WaNet,WaNet,0.01,0.4,test_s,0.4,0.8082973582474227,0.5116156455766097,0.0375,0.06742666481301265,0.02
cifar10,vgg,31,1,WaNet,WaNet,0.01,0.6,test_s,0.6,0.8332336753731343,0.47698653383469625,0.040625,0.37258445711108024,0.02
cifar10,vgg,32,1,WaNet,WaNet,0.01,0.8,test_s,0.8,0.794096312414109,0.5089033521165651,0.033906,0.6069790073682747,0.02
cifar10,vgg,33,1,WaNet,WaNet,0.01,1.0,test_s,1.0,0.7884299549028677,0.4750748009972511,0.048438,0.6011399972195189,0.02
cifar10,vgg,34,1,WaNet,WaNet,0.01,1.2,test_s,1.2,0.5474679117098205,0.5146934271495478,0.044375,0.5959961073265675,0.02
cifar10,vgg,35,1,WaNet,WaNet,0.01,1.4,test_s,1.4,0.6204039706418674,0.37705582678040905,0.048906,0.5718059224245795,0.02
cifar10,vgg,36,1,WaNet,WaNet,0.01,2.0,test_s,2.0,0.6903296421815889,0.42094306022218153,0.163125,0.771722507993883,0.02
cifar10,vgg,37,1,WaNet,WaNet,0.01,4.0,test_s,4.0,0.4768493875378843,0.3666610466061626,0.746563,0.9632976504935353,0.02
cifar10,vgg,38,1,WaNet,WaNet,0.05,0.4,test_s,0.4,0.7614695667957405,0.5429485173605004,0.044062,0.5744473793966356,0.1
cifar10,vgg,39,1,WaNet,WaNet,0.05,0.6,test_s,0.6,0.6491610642743911,0.4567876481757601,0.263594,0.9646878910051438,0.1
cifar10,vgg,40,1,WaNet,WaNet,0.05,0.8,test_s,0.8,0.5483165284955498,0.34960221213686904,0.219531,0.9684415403864869,0.1
cifar10,vgg,41,1,WaNet,WaNet,0.05,1.0,test_s,1.0,0.5949525763631174,0.3750025934409371,0.340938,0.9740025024329209,0.1
cifar10,vgg,42,1,WaNet,WaNet,0.05,1.2,test_s,1.2,0.6182308370551539,0.34169147791811816,0.488125,0.9805366328374809,0.1
cifar10,vgg,43,1,WaNet,WaNet,0.05,1.4,test_s,1.4,0.5892158961187215,0.3797827213199414,0.450625,0.9742805505352427,0.1
cifar10,vgg,44,1,WaNet,WaNet,0.05,2.0,test_s,2.0,0.5292952436194895,0.2859941531009941,0.296719,0.9587098568052274,0.1
cifar10,vgg,45,1,WaNet,WaNet,0.05,4.0,test_s,4.0,0.606110444067441,0.4181895007936536,0.762656,0.9936048936466009,0.1
cifar10,vgg,46,1,adaptive_blend,adaptive_blend,0.005,0.01,test_alpha,0.01,0.8461527777777778,0.5299212909890685,0.099844,0.01000973168358126,0.005
cifar10,vgg,47,1,adaptive_blend,adaptive_blend,0.005,0.05,test_alpha,0.05,0.8080580357142857,0.47552143322686136,0.096875,0.015570693730015293,0.005
cifar10,vgg,48,1,adaptive_blend,adaptive_blend,0.005,0.1,test_alpha,0.1,0.8795853303108808,0.5416493689889875,0.123438,0.05366328374808842,0.005
cifar10,vgg,49,1,adaptive_blend,adaptive_blend,0.005,0.15,test_alpha,0.15,0.7183916584806811,0.45869201334800525,0.399687,0.6368691783678576,0.005
cifar10,vgg,50,1,adaptive_blend,adaptive_blend,0.005,0.2,test_alpha,0.2,0.668562856581776,0.3519915607405879,0.554375,0.840678437369665,0.005
cifar10,vgg,51,1,adaptive_blend,adaptive_blend,0.005,0.25,test_alpha,0.25,0.6580509350393701,0.4681645453444859,0.711094,0.8826637008202419,0.005
cifar10,vgg,52,1,adaptive_blend,adaptive_blend,0.005,0.3,test_alpha,0.3,0.6164495656370657,0.4710433012311035,0.754219,0.9361879605171695,0.005
cifar10,vgg,53,1,adaptive_blend,adaptive_blend,0.01,0.01,test_alpha,0.01,0.7710676673228347,0.45152182012169473,0.161562,0.03531210899485611,0.01
cifar10,vgg,54,1,adaptive_blend,adaptive_blend,0.01,0.05,test_alpha,0.05,0.833683985943775,0.513850949890552,0.126562,0.034616988739051856,0.01
cifar10,vgg,55,1,adaptive_blend,adaptive_blend,0.01,0.1,test_alpha,0.1,0.7053938489044431,0.44678568817551145,0.190469,0.22841651605727792,0.01
cifar10,vgg,56,1,adaptive_blend,adaptive_blend,0.01,0.15,test_alpha,0.15,0.8180575513196481,0.5006567784143541,0.487969,0.7109689976365912,0.01
cifar10,vgg,57,1,adaptive_blend,adaptive_blend,0.01,0.2,test_alpha,0.2,0.7857686965811966,0.5040684658985717,0.705781,0.8134297233421381,0.01
cifar10,vgg,58,1,adaptive_blend,adaptive_blend,0.01,0.25,test_alpha,0.25,0.6478553335711738,0.3375515064512904,0.81375,0.7795078548588906,0.01
cifar10,vgg,59,1,adaptive_blend,adaptive_blend,0.01,0.3,test_alpha,0.3,0.7316353897502154,0.4404608475987787,0.741094,0.8068955929375782,0.01
cifar10,vgg,60,1,adaptive_blend,adaptive_blend,0.05,0.01,test_alpha,0.01,0.8029486831103679,0.4575627575082525,0.324375,0.08313638259418879,0.05
cifar10,vgg,61,1,adaptive_blend,adaptive_blend,0.05,0.05,test_alpha,0.05,0.6980211975524475,0.4131991000320523,0.284375,0.11928263589601001,0.05
cifar10,vgg,62,1,adaptive_blend,adaptive_blend,0.05,0.1,test_alpha,0.1,0.7381780143338954,0.42473767065736134,0.558438,0.6595300987070764,0.05
cifar10,vgg,63,1,adaptive_blend,adaptive_blend,0.05,0.15,test_alpha,0.15,0.49938211658107845,0.2898255191378144,0.686094,0.7038787710273877,0.05
cifar10,vgg,64,1,adaptive_blend,adaptive_blend,0.05,0.2,test_alpha,0.2,0.7278220401174169,0.43358935473498983,0.744062,0.7104129014319477,0.05
cifar10,vgg,65,1,adaptive_blend,adaptive_blend,0.05,0.25,test_alpha,0.25,0.49077136274158906,0.33211906876204444,0.855781,0.7768663978868344,0.05
cifar10,vgg,66,1,adaptive_blend,adaptive_blend,0.05,0.3,test_alpha,0.3,0.4654736915992812,0.21091725807487638,0.841562,0.773529820658974,0.05
