dataset,arch,group_id,point_id,attack_type,trigger_type,poison_rate,train_param_value,alpha,test_param_type,test_param_value,stealth_tpr_avg,stealth_auc_avg,transfer_rate,asr,cover_rate,nc_max_anomaly_index,nc_is_poisoned,S_stealth,S_stealth_tpr
mnistm,mobilenet,1,1,SIG,SIG,0.005,4.0,,test_delta,4.0,0.9312291666666667,0.5705622937249268,0.002094,0.0016750418760469012,,4.502109050750732,false,0.4564498349799415,0.7449833333333333
mnistm,mobilenet,2,1,SIG,SIG,0.005,12.0,,test_delta,12.0,0.8911819852941176,0.5866995927289503,0.001117,0.002372975991066443,,1.150768518447876,false,0.46935967418316027,0.7129455882352942
mnistm,mobilenet,3,1,SIG,SIG,0.005,20.0,,test_delta,20.0,0.92375,0.5771146597641679,0.001117,0.0016750418760469012,,2.178793430328369,false,0.46169172781133433,0.739
mnistm,mobilenet,4,1,SIG,SIG,0.005,28.0,,test_delta,28.0,0.92434375,0.5750277683503293,0.001815,0.0020938023450586263,,3.795034408569336,false,0.4600222146802635,0.7394750000000001
mnistm,mobilenet,5,1,SIG,SIG,0.005,36.0,,test_delta,36.0,0.9335625,0.5897298863766548,0.000838,0.0013958682300390843,,3.7144627571105957,false,0.47178390910132384,0.74685
mnistm,mobilenet,6,1,SIG,SIG,0.005,44.0,,test_delta,44.0,0.943625,0.5837266302599255,0.001815,0.0018146286990508096,,2.2399814128875732,true,0.6637796509836101,0.9516983467756698
mnistm,mobilenet,7,1,SIG,SIG,0.005,56.0,,test_delta,56.0,0.91659375,0.581736828732369,0.000838,0.0036292573981016193,,2.314166307449341,false,0.46538946298589523,0.733275
mnistm,mobilenet,8,1,SIG,SIG,0.01,4.0,,test_delta,4.0,0.7698020833333333,0.6374135738476504,0.001117,0.0020938023450586263,,3.497204542160034,true,0.6865050520053143,0.7924158595938607
mnistm,mobilenet,9,1,SIG,SIG,0.01,12.0,,test_delta,12.0,0.9041507352941176,0.5874809285712863,0.001396,0.002372975991066443,,2.896777391433716,false,0.46998474285702907,0.7233205882352941
mnistm,mobilenet,10,1,SIG,SIG,0.01,20.0,,test_delta,20.0,0.8984375,0.5349883271781148,0.001396,0.0018146286990508096,,1.491872787475586,false,0.4279906617424919,0.71875
mnistm,mobilenet,11,1,SIG,SIG,0.01,28.0,,test_delta,28.0,0.94559375,0.5893556587390164,0.001815,0.002512562814070352,,1.540166974067688,false,0.4714845269912131,0.756475
mnistm,mobilenet,12,1,SIG,SIG,0.01,36.0,,test_delta,36.0,0.93653125,0.5783770960786769,0.001675,0.0037688442211055275,,1.4063831567764282,false,0.46270167686294156,0.749225
mnistm,mobilenet,13,1,SIG,SIG,0.01,44.0,,test_delta,44.0,0.8868482142857143,0.5740763022352837,0.002094,0.001954215522054718,,1.8429070711135864,false,0.459261041788227,0.7094785714285714
mnistm,mobilenet,14,1,SIG,SIG,0.01,56.0,,test_delta,56.0,0.8984016203703704,0.6098406180010615,0.001815,0.01507537688442211,,1.9729416370391846,false,0.48787249440084923,0.7187212962962963
mnistm,mobilenet,15,1,SIG,SIG,0.05,4.0,,test_delta,4.0,0.92846875,0.5703006005210984,0.001256,0.002233389168062535,,1.7666890621185303,false,0.45624048041687876,0.742775
mnistm,mobilenet,16,1,SIG,SIG,0.05,12.0,,test_delta,12.0,0.8934791666666666,0.5613874653185749,0.001256,0.0020938023450586263,,2.4607110023498535,true,0.6423575816377334,0.9080309427162068
mnistm,mobilenet,17,1,SIG,SIG,0.05,20.0,,test_delta,20.0,0.9225798611111111,0.5895570840142328,0.002652,0.002512562814070352,,1.5293731689453125,false,0.47164566721138623,0.738063888888889
mnistm,mobilenet,18,1,SIG,SIG,0.05,28.0,,test_delta,28.0,0.8768600543478261,0.5836956083119784,0.002233,0.01605248464544947,,3.364607810974121,false,0.4669564866495828,0.7014880434782609
mnistm,mobilenet,19,1,SIG,SIG,0.05,36.0,,test_delta,36.0,0.8928674242424243,0.5907292459383369,0.002931,0.018425460636515914,,2.2277748584747314,true,0.6695781026519846,0.9112886452952546
mnistm,mobilenet,20,1,SIG,SIG,0.05,44.0,,test_delta,44.0,0.8863049203049203,0.553277898733803,0.011446,0.20142378559463986,,1.4693526029586792,false,0.4426223189870424,0.7090439362439362
mnistm,mobilenet,21,1,SIG,SIG,0.05,56.0,,test_delta,56.0,0.8184970930232558,0.5816908294645375,0.032663,0.39000558347292014,,1.135252594947815,false,0.4653526635716301,0.6547976744186047
mnistm,mobilenet,22,1,WaNet,WaNet,0.005,0.4,,test_s,0.4,0.9589375,0.5984161460801856,0.001256,0.002233389168062535,0.01,2.025860071182251,false,0.4787329168641485,0.76715
mnistm,mobilenet,23,1,WaNet,WaNet,0.005,0.6,,test_s,0.6,0.9379647177419355,0.5827166452926664,0.004188,0.004327191513121161,0.01,2.8163740634918213,false,0.46617331623413316,0.7503717741935484
mnistm,mobilenet,24,1,WaNet,WaNet,0.005,0.8,,test_s,0.8,0.8911944444444444,0.5689554545434451,0.006281,0.00628140703517588,0.01,1.363681674003601,false,0.4551643636347561,0.7129555555555556
mnistm,mobilenet,25,1,WaNet,WaNet,0.005,1.0,,test_s,1.0,0.9059895833333333,0.5538773737922957,0.017867,0.01675041876046901,0.01,3.344838857650757,true,0.6221271024244852,0.9038168700573153
mnistm,mobilenet,26,1,WaNet,WaNet,0.005,1.2,,test_s,1.2,0.9434920680428135,0.625956019138306,0.032803,0.045644891122278056,0.01,2.0358760356903076,false,0.5007648153106449,0.7547936544342508
mnistm,mobilenet,27,1,WaNet,WaNet,0.005,1.4,,test_s,1.4,0.9109050598476605,0.6422880034663314,0.140983,0.12828029034059185,0.01,2.1222217082977295,true,0.7125230754860521,0.9274167205911154
mnistm,mobilenet,28,1,WaNet,WaNet,0.005,2.0,,test_s,2.0,0.9122694746376812,0.6213405130626547,0.107063,0.1541038525963149,0.01,2.4355640411376953,false,0.4970724104501238,0.729815579710145
mnistm,mobilenet,29,1,WaNet,WaNet,0.005,4.0,,test_s,4.0,0.8202097154800432,0.6548756452724845,0.27708,0.25865438302624233,0.01,1.6918734312057495,false,0.5239005162179876,0.6561677723840346
mnistm,mobilenet,30,1,WaNet,WaNet,0.01,0.4,,test_s,0.4,0.9538125,0.5916236649047374,0.002373,0.00265214963707426,0.02,1.007055640220642,false,0.4732989319237899,0.76305
mnistm,mobilenet,31,1,WaNet,WaNet,0.01,0.6,,test_s,0.6,0.952391369047619,0.6052729390088212,0.005723,0.005862646566164154,0.02,2.622502565383911,true,0.674863321976306,0.9525580660073444
mnistm,mobilenet,32,1,WaNet,WaNet,0.01,0.8,,test_s,0.8,0.7560080259562841,0.49516557176769294,0.574819,0.22989949748743718,0.02,1.6684361696243286,false,0.39613245741415437,0.6048064207650273
mnistm,mobilenet,33,1,WaNet,WaNet,0.01,1.0,,test_s,1.0,0.9235800855513308,0.6010499978523502,0.053462,0.07342266890005583,0.02,4.144935607910156,false,0.48083999828188023,0.7388640684410647
mnistm,mobilenet,34,1,WaNet,WaNet,0.01,1.2,,test_s,1.2,0.7641927432885907,0.5504431602604984,0.194305,0.228643216080402,0.02,2.0626840591430664,false,0.44035452820839877,0.6113541946308726
mnistm,mobilenet,35,1,WaNet,WaNet,0.01,1.4,,test_s,1.4,0.9290212862318841,0.6591454085007196,0.078308,0.1444723618090452,0.02,3.309257984161377,true,0.7069138972140365,0.9228145993989681
mnistm,mobilenet,36,1,WaNet,WaNet,0.01,2.0,,test_s,2.0,0.8822228535353536,0.6077486238666784,0.12828,0.2765214963707426,0.02,1.0812984704971313,false,0.48619889909334274,0.7057782828282829
mnistm,mobilenet,37,1,WaNet,WaNet,0.01,4.0,,test_s,4.0,0.8884905277401894,0.6702868923459077,0.29718,0.41261864879955334,0.02,1.593737006187439,false,0.5362295138767261,0.7107924221921516
mnistm,mobilenet,38,1,WaNet,WaNet,0.05,0.4,,test_s,0.4,0.7371597222222221,0.5111682251175085,0.980597,0.9422110552763819,0.1,5.085333347320557,true,0.5599615487147653,0.7407547463985362
mnistm,mobilenet,39,1,WaNet,WaNet,0.05,0.6,,test_s,0.6,0.7328156381539386,0.5159429939567071,0.9933,0.9285315466219989,0.1,3.150783061981201,false,0.41275439516536566,0.5862525105231509
mnistm,mobilenet,40,1,WaNet,WaNet,0.05,0.8,,test_s,0.8,0.366255594629156,0.3856515827973457,0.99986,0.9822724734785037,0.1,2.1294753551483154,false,0.30852126623787657,0.29300447570332483
mnistm,mobilenet,41,1,WaNet,WaNet,0.05,1.0,,test_s,1.0,0.5113198262730306,0.5492757650553632,0.996929,0.9621719709659409,0.1,4.192811965942383,true,0.6048050080061225,0.5744402569802565
mnistm,mobilenet,42,1,WaNet,WaNet,0.05,1.2,,test_s,1.2,0.3355769689842977,0.38573897365147203,0.998744,0.9867392518146287,0.1,1.6077325344085693,false,0.30859117892117766,0.26846157518743813
mnistm,mobilenet,43,1,WaNet,WaNet,0.05,1.4,,test_s,1.4,0.5517095693097547,0.37551081191329616,0.998883,0.9787828029034059,0.1,3.465270757675171,false,0.30040864953063695,0.44136765544780376
mnistm,mobilenet,44,1,WaNet,WaNet,0.05,2.0,,test_s,2.0,0.35490904263111633,0.4047567790405685,0.95938,0.9526800670016751,0.1,1.8458222150802612,false,0.3238054232324548,0.28392723410489307
mnistm,mobilenet,45,1,WaNet,WaNet,0.05,4.0,,test_s,4.0,0.608496860408194,0.49600903689998954,0.932021,0.9267169179229481,0.1,1.5725319385528564,false,0.39680722951999164,0.48679748832655517
mnistm,mobilenet,46,1,adaptive_blend,adaptive_blend,0.005,0.01,0.01,test_alpha,0.01,0.95065625,0.5721534688904858,0.001396,0.0013958682300390843,0.005,2.196694850921631,false,0.4577227751123887,0.760525
mnistm,mobilenet,47,1,adaptive_blend,adaptive_blend,0.005,0.05,0.05,test_alpha,0.05,0.9479163732394367,0.6069847899066652,0.006142,0.009910664433277499,0.005,2.040952444076538,true,0.6855878319253321,0.9583330985915495
mnistm,mobilenet,48,1,adaptive_blend,adaptive_blend,0.005,0.1,0.1,test_alpha,0.1,0.9279188829787234,0.6327090845779317,0.28029,0.10496929089893914,0.005,2.3189029693603516,false,0.5061672676623454,0.7423351063829787
mnistm,mobilenet,49,1,adaptive_blend,adaptive_blend,0.005,0.15,0.15,test_alpha,0.15,0.6447341305655836,0.5346557718438151,0.776661,0.4638470128419877,0.005,3.194389581680298,false,0.4277246174750521,0.5157873044524669
mnistm,mobilenet,50,1,adaptive_blend,adaptive_blend,0.005,0.2,0.2,test_alpha,0.2,0.5138012731273576,0.487403244967731,0.971524,0.7768006700167505,0.005,2.2364211082458496,false,0.3899225959741848,0.41104101850188607
mnistm,mobilenet,51,1,adaptive_blend,adaptive_blend,0.005,0.25,0.25,test_alpha,0.25,0.8408729381872708,0.443019280841779,0.937465,0.8378001116694584,0.005,1.5939643383026123,false,0.35441542467342324,0.6726983505498167
mnistm,mobilenet,52,1,adaptive_blend,adaptive_blend,0.005,0.3,0.3,test_alpha,0.3,0.8114340034965035,0.5892284106752901,0.883724,0.7984366275823562,0.005,3.4630000591278076,true,0.6485071473669064,0.8262716216238771
mnistm,mobilenet,53,1,adaptive_blend,adaptive_blend,0.01,0.01,0.01,test_alpha,0.01,0.952125,0.5725003651751517,0.002373,0.002233389168062535,0.01,2.0752334594726562,false,0.4580002921401214,0.7617
mnistm,mobilenet,54,1,adaptive_blend,adaptive_blend,0.01,0.05,0.05,test_alpha,0.05,0.9366112918215613,0.6004612815427441,0.031407,0.03768844221105527,0.01,1.4395831823349,false,0.48036902523419533,0.7492890334572491
mnistm,mobilenet,55,1,adaptive_blend,adaptive_blend,0.01,0.1,0.1,test_alpha,0.1,0.8247723877767668,0.5883464209486253,0.890145,0.46035734226689,0.01,2.1301491260528564,false,0.47067713675890027,0.6598179102214135
mnistm,mobilenet,56,1,adaptive_blend,adaptive_blend,0.01,0.15,0.15,test_alpha,0.15,0.5289512191640018,0.5303407408060514,0.902289,0.6113902847571189,0.01,1.0469069480895996,false,0.4242725926448412,0.42316097533120145
mnistm,mobilenet,57,1,adaptive_blend,adaptive_blend,0.01,0.2,0.2,test_alpha,0.2,0.8537006260671599,0.596027690896557,0.956588,0.7356225572305974,0.01,1.9620987176895142,false,0.47682215271724565,0.682960500853728
mnistm,mobilenet,58,1,adaptive_blend,adaptive_blend,0.01,0.25,0.25,test_alpha,0.25,0.8932979145342886,0.5400511410228279,0.612647,0.6817420435510888,0.01,1.8642187118530273,false,0.43204091281826235,0.714638331627431
mnistm,mobilenet,59,1,adaptive_blend,adaptive_blend,0.01,0.3,0.3,test_alpha,0.3,0.7499232531212243,0.486359404576856,0.53392,0.6933277498604131,0.01,3.308994770050049,true,0.5686893282339892,0.7795404070694839
mnistm,mobilenet,60,1,adaptive_blend,adaptive_blend,0.05,0.01,0.01,test_alpha,0.01,0.9495625,0.5891028442146973,0.015075,0.01242322724734785,0.05,2.0930447578430176,false,0.4712822753717578,0.75965
mnistm,mobilenet,61,1,adaptive_blend,adaptive_blend,0.05,0.05,0.05,test_alpha,0.05,0.7408138460157933,0.48415798805387245,0.907175,0.7777777777777778,0.05,1.9390881061553955,false,0.38732639044309797,0.5926510768126346
mnistm,mobilenet,62,1,adaptive_blend,adaptive_blend,0.05,0.1,0.1,test_alpha,0.1,0.7608821162074724,0.5208070861758236,0.61837,0.6687604690117253,0.05,4.6150102615356445,true,0.5752384277731425,0.7672984517984616
mnistm,mobilenet,63,1,adaptive_blend,adaptive_blend,0.05,0.15,0.15,test_alpha,0.15,0.60803238840431,0.5984468652403976,0.517588,0.5441094360692351,0.05,3.827577829360962,true,0.6500171788618642,0.657685597392994
mnistm,mobilenet,64,1,adaptive_blend,adaptive_blend,0.05,0.2,0.2,test_alpha,0.2,0.8159560519422437,0.5757909491249675,0.437326,0.5460636515912898,0.05,3.4071383476257324,true,0.6386557901719985,0.8307878724258195
