dataset,arch,group_id,point_id,attack_type,trigger_type,poison_rate,train_param_value,alpha,test_param_type,test_param_value,stealth_tpr_avg,stealth_auc_avg,transfer_rate,asr,cover_rate
mnistm,mobilenet,1,1,SIG,SIG,0.005,4.0,,test_delta,4.0,0.9312291666666667,0.5705622937249268,0.002094,0.0016750418760469012,
mnistm,mobilenet,2,1,SIG,SIG,0.005,12.0,,test_delta,12.0,0.8911819852941176,0.5866995927289503,0.001117,0.002372975991066443,
mnistm,mobilenet,3,1,SIG,SIG,0.005,20.0,,test_delta,20.0,0.92375,0.5771146597641679,0.001117,0.0016750418760469012,
mnistm,mobilenet,4,1,SIG,SIG,0.005,28.0,,test_delta,28.0,0.92434375,0.5750277683503293,0.001815,0.0020938023450586263,
mnistm,mobilenet,5,1,SIG,SIG,0.005,36.0,,test_delta,36.0,0.9335625,0.5897298863766548,0.000838,0.0013958682300390843,
mnistm,mobilenet,6,1,SIG,SIG,0.005,44.0,,test_delta,44.0,0.943625,0.5837266302599255,0.001815,0.0018146286990508096,
mnistm,mobilenet,7,1,SIG,SIG,0.005,56.0,,test_delta,56.0,0.91659375,0.581736828732369,0.000838,0.0036292573981016193,
mnistm,mobilenet,8,1,SIG,SIG,0.01,4.0,,test_delta,4.0,0.7698020833333333,0.6374135738476504,0.001117,0.0020938023450586263,
mnistm,mobilenet,9,1,SIG,SIG,0.01,12.0,,test_delta,12.0,0.9041507352941176,0.5874809285712863,0.001396,0.002372975991066443,
mnistm,mobilenet,10,1,SIG,SIG,0.01,20.0,,test_delta,20.0,0.8984375,0.5349883271781148,0.001396,0.0018146286990508096,
mnistm,mobilenet,11,1,SIG,SIG,0.01,28.0,,test_delta,28.0,0.94559375,0.5893556587390164,0.001815,0.002512562814070352,
mnistm,mobilenet,12,1,SIG,SIG,0.01,36.0,,test_delta,36.0,0.93653125,0.5783770960786769,0.001675,0.0037688442211055275,
mnistm,mobilenet,13,1,SIG,SIG,0.01,44.0,,test_delta,44.0,0.8868482142857143,0.5740763022352837,0.002094,0.001954215522054718,
mnistm,mobilenet,14,1,SIG,SIG,0.01,56.0,,test_delta,56.0,0.8984016203703704,0.6098406180010615,0.001815,0.01507537688442211,
mnistm,mobilenet,15,1,SIG,SIG,0.05,4.0,,test_delta,4.0,0.92846875,0.5703006005210984,0.001256,0.002233389168062535,
mnistm,mobilenet,16,1,SIG,SIG,0.05,12.0,,test_delta,12.0,0.8934791666666666,0.5613874653185749,0.001256,0.0020938023450586263,
mnistm,mobilenet,17,1,SIG,SIG,0.05,20.0,,test_delta,20.0,0.9225798611111111,0.5895570840142328,0.002652,0.002512562814070352,
mnistm,mobilenet,18,1,SIG,SIG,0.05,28.0,,test_delta,28.0,0.8768600543478261,0.5836956083119784,0.002233,0.01605248464544947,
mnistm,mobilenet,19,1,SIG,SIG,0.05,36.0,,test_delta,36.0,0.8928674242424243,0.5907292459383369,0.002931,0.018425460636515914,
mnistm,mobilenet,20,1,SIG,SIG,0.05,44.0,,test_delta,44.0,0.8863049203049203,0.553277898733803,0.011446,0.20142378559463986,
mnistm,mobilenet,21,1,SIG,SIG,0.05,56.0,,test_delta,56.0,0.8184970930232558,0.5816908294645375,0.032663,0.39000558347292014,
mnistm,mobilenet,22,1,WaNet,WaNet,0.005,0.4,,test_s,0.4,0.9589375,0.5984161460801856,0.001256,0.002233389168062535,0.01
mnistm,mobilenet,23,1,WaNet,WaNet,0.005,0.6,,test_s,0.6,0.9379647177419355,0.5827166452926664,0.004188,0.004327191513121161,0.01
mnistm,mobilenet,24,1,WaNet,WaNet,0.005,0.8,,test_s,0.8,0.8911944444444444,0.5689554545434451,0.006281,0.00628140703517588,0.01
mnistm,mobilenet,25,1,WaNet,WaNet,0.005,1.0,,test_s,1.0,0.9059895833333333,0.5538773737922957,0.017867,0.01675041876046901,0.01
mnistm,mobilenet,26,1,WaNet,WaNet,0.005,1.2,,test_s,1.2,0.9434920680428135,0.625956019138306,0.032803,0.045644891122278056,0.01
mnistm,mobilenet,27,1,WaNet,WaNet,0.005,1.4,,test_s,1.4,0.9109050598476605,0.6422880034663314,0.140983,0.12828029034059185,0.01
mnistm,mobilenet,28,1,WaNet,WaNet,0.005,2.0,,test_s,2.0,0.9122694746376812,0.6213405130626547,0.107063,0.1541038525963149,0.01
