dataset,arch,group_id,point_id,attack_type,trigger_type,poison_rate,train_param_value,alpha,test_param_type,test_param_value,stealth_tpr_avg,stealth_auc_avg,transfer_rate,asr,cover_rate
mnistm,resnet18,1,1,SIG,SIG,0.005,4.0,,test_delta,4.0,0.85546875,0.5744463177206871,0.000698,0.0011166945840312675,
mnistm,resnet18,2,1,SIG,SIG,0.005,12.0,,test_delta,12.0,0.8359062500000001,0.5898045240601255,0.000838,0.000977107761027359,
mnistm,resnet18,3,1,SIG,SIG,0.005,20.0,,test_delta,20.0,0.8360937500000001,0.5684632584058544,0.001117,0.0008375209380234506,
mnistm,resnet18,4,1,SIG,SIG,0.005,28.0,,test_delta,28.0,0.883625,0.5782332961633351,0.001396,0.000977107761027359,
mnistm,resnet18,5,1,SIG,SIG,0.005,36.0,,test_delta,36.0,0.8183854166666666,0.5629230786718585,0.001815,0.0016750418760469012,
mnistm,resnet18,6,1,SIG,SIG,0.005,44.0,,test_delta,44.0,0.7405937499999999,0.5797909850352705,0.000698,0.0011166945840312675,
mnistm,resnet18,7,1,SIG,SIG,0.005,56.0,,test_delta,56.0,0.8446699695121951,0.5917152292314249,0.001117,0.011446119486320492,
mnistm,resnet18,8,1,SIG,SIG,0.01,4.0,,test_delta,4.0,0.8751875,0.583967939873011,0.000698,0.0008375209380234506,
mnistm,resnet18,9,1,SIG,SIG,0.01,12.0,,test_delta,12.0,0.831875,0.5569234091555977,0.000838,0.0006979341150195422,
mnistm,resnet18,10,1,SIG,SIG,0.01,20.0,,test_delta,20.0,0.8409375,0.5982655210291015,0.001117,0.001256281407035176,
mnistm,resnet18,11,1,SIG,SIG,0.01,28.0,,test_delta,28.0,0.80859375,0.5665107162944452,0.000558,0.0013958682300390843,
mnistm,resnet18,12,1,SIG,SIG,0.01,36.0,,test_delta,36.0,0.8592316176470588,0.5788578897735637,0.001117,0.002372975991066443,
mnistm,resnet18,13,1,SIG,SIG,0.01,44.0,,test_delta,44.0,0.8836875,0.5920615638914335,0.001396,0.00809603573422669,
mnistm,resnet18,14,1,SIG,SIG,0.01,56.0,,test_delta,56.0,0.8134194078947368,0.6002412871643504,0.001815,0.04243439419318816,
mnistm,resnet18,15,1,SIG,SIG,0.05,4.0,,test_delta,4.0,0.8074419642857142,0.5586957031261639,0.001117,0.000977107761027359,
mnistm,resnet18,16,1,SIG,SIG,0.05,12.0,,test_delta,12.0,0.6671546052631578,0.6042812612256487,0.001675,0.00265214963707426,
mnistm,resnet18,17,1,SIG,SIG,0.05,20.0,,test_delta,20.0,0.8557455357142857,0.6064355488671367,0.004048,0.015633724176437745,
mnistm,resnet18,18,1,SIG,SIG,0.05,28.0,,test_delta,28.0,0.8482850311387901,0.5788499361172975,0.006281,0.03922389726409827,
mnistm,resnet18,19,1,SIG,SIG,0.05,36.0,,test_delta,36.0,0.835891031598513,0.6165194776113776,0.006421,0.07509771077610274,
mnistm,resnet18,20,1,SIG,SIG,0.05,44.0,,test_delta,44.0,0.7058958666134185,0.6006258766015825,0.010748,0.13107202680067,
mnistm,resnet18,21,1,SIG,SIG,0.05,56.0,,test_delta,56.0,0.8592220394736843,0.6088679552206014,0.017588,0.24399776661083195,
mnistm,resnet18,22,1,WaNet,WaNet,0.005,0.4,,test_s,0.4,0.40722572815533975,0.43235145384701335,0.88512,0.028754885538805137,0.01
mnistm,resnet18,23,1,WaNet,WaNet,0.005,0.6,,test_s,0.6,0.6269282723325063,0.382271821893466,0.982133,0.1125069793411502,0.01
mnistm,resnet18,24,1,WaNet,WaNet,0.005,0.8,,test_s,0.8,0.6082304080310881,0.42589788060911093,0.998883,0.40424343941931884,0.01
mnistm,resnet18,25,1,WaNet,WaNet,0.005,1.0,,test_s,1.0,0.5887195301460199,0.4204012958970459,0.999162,0.2963428252372976,0.01
mnistm,resnet18,26,1,WaNet,WaNet,0.005,1.2,,test_s,1.2,0.5810283232628398,0.4015117488547121,0.974037,0.27721943048576214,0.01
mnistm,resnet18,27,1,WaNet,WaNet,0.005,1.4,,test_s,1.4,0.5776323735955056,0.3958783661137669,0.779732,0.1490787269681742,0.01
mnistm,resnet18,28,1,WaNet,WaNet,0.005,2.0,,test_s,2.0,0.5948272513607125,0.3964665634843775,0.960218,0.28210496929089895,0.01
mnistm,resnet18,29,1,WaNet,WaNet,0.005,4.0,,test_s,4.0,0.755998355263158,0.6272128676743028,0.420436,0.3315187046342825,0.01
mnistm,resnet18,30,1,WaNet,WaNet,0.01,0.4,,test_s,0.4,0.6038900729646698,0.3891784706418462,0.998604,0.27261306532663315,0.02
mnistm,resnet18,31,1,WaNet,WaNet,0.01,0.6,,test_s,0.6,0.3699372522182367,0.3736863919964979,1.0,0.739391401451703,0.02
mnistm,resnet18,32,1,WaNet,WaNet,0.01,0.8,,test_s,0.8,0.4997531111960585,0.32765845088868817,1.0,0.821608040201005,0.02
mnistm,resnet18,33,1,WaNet,WaNet,0.01,1.0,,test_s,1.0,0.5241182065217391,0.35567130833366845,1.0,0.8347292015633724,0.02
mnistm,resnet18,34,1,WaNet,WaNet,0.01,1.2,,test_s,1.2,0.530144387082601,0.3717426671688121,1.0,0.794249022892239,0.02
mnistm,resnet18,35,1,WaNet,WaNet,0.01,1.4,,test_s,1.4,0.5323156175771973,0.37609806263505474,0.999302,0.6464265773311,0.02
mnistm,resnet18,36,1,WaNet,WaNet,0.01,2.0,,test_s,2.0,0.5553638477919749,0.3838947671053635,1.0,0.6226968174204355,0.02
mnistm,resnet18,37,1,WaNet,WaNet,0.01,4.0,,test_s,4.0,0.6793800872093023,0.5420978132753871,0.847013,0.576214405360134,0.02
mnistm,resnet18,38,1,WaNet,WaNet,0.05,0.4,,test_s,0.4,0.6988832581490105,0.41597174310987484,0.999581,0.9592406476828588,0.1
mnistm,resnet18,39,1,WaNet,WaNet,0.05,0.6,,test_s,0.6,0.4573335459183674,0.29829708114156894,1.0,0.9917643774427694,0.1
mnistm,resnet18,40,1,WaNet,WaNet,0.05,0.8,,test_s,0.8,0.45963786351503233,0.2797727450569383,1.0,0.9935790061418203,0.1
mnistm,resnet18,41,1,WaNet,WaNet,0.05,1.0,,test_s,1.0,0.4587929714989445,0.3060598847700924,1.0,0.9917643774427694,0.1
mnistm,resnet18,42,1,WaNet,WaNet,0.05,1.2,,test_s,1.2,0.4476697560202789,0.3042091248911887,1.0,0.9912060301507538,0.1
mnistm,resnet18,43,1,WaNet,WaNet,0.05,1.4,,test_s,1.4,0.44636336103676566,0.250983406648978,1.0,0.990926856504746,0.1
mnistm,resnet18,44,1,WaNet,WaNet,0.05,2.0,,test_s,2.0,0.46248070282617937,0.29021331891657276,1.0,0.9853433835845896,0.1
