dataset,arch,group_id,point_id,attack_type,trigger_type,poison_rate,train_param_value,alpha,test_param_type,test_param_value,stealth_tpr_avg,stealth_auc_avg,transfer_rate,asr,cover_rate,nc_max_anomaly_index,nc_is_poisoned,S_stealth,S_stealth_tpr
mnistm,vgg,1,1,SIG,SIG,0.005,4.0,,test_delta,4.0,0.5596875,0.5626726831424185,0.001117,0.0016750418760469012,,2.5276739597320557,false,0.4501381465139348,0.44775000000000004
mnistm,vgg,2,1,SIG,SIG,0.005,12.0,,test_delta,12.0,0.7397544642857143,0.5425175328328591,0.000977,0.001954215522054718,,1.3766517639160156,false,0.43401402626628727,0.5918035714285715
mnistm,vgg,3,1,SIG,SIG,0.005,20.0,,test_delta,20.0,0.7432291666666666,0.5402903411975033,0.000838,0.0020938023450586263,,1.5038506984710693,false,0.43223227295800265,0.5945833333333334
mnistm,vgg,4,1,SIG,SIG,0.005,28.0,,test_delta,28.0,0.7386597222222222,0.5636335316114695,0.001256,0.001256281407035176,,2.8648037910461426,false,0.4509068252891756,0.5909277777777778
mnistm,vgg,5,1,SIG,SIG,0.005,36.0,,test_delta,36.0,0.7412366071428571,0.6012908021878101,0.000698,0.001954215522054718,,3.6651885509490967,false,0.48103264175024807,0.5929892857142857
mnistm,vgg,6,1,SIG,SIG,0.005,44.0,,test_delta,44.0,0.7009567307692308,0.5372650689894706,0.001396,0.0018146286990508096,,1.0520917177200317,false,0.4298120551915765,0.5607653846153847
mnistm,vgg,7,1,SIG,SIG,0.005,56.0,,test_delta,56.0,0.8031021959459459,0.5977368056960846,0.000977,0.02582356225572306,,1.6819038391113281,false,0.4781894445568677,0.6424817567567568
mnistm,vgg,8,1,SIG,SIG,0.01,4.0,,test_delta,4.0,0.7619479166666666,0.5812425955204663,0.000977,0.0016750418760469012,,1.031022071838379,false,0.4649940764163731,0.6095583333333333
mnistm,vgg,9,1,SIG,SIG,0.01,12.0,,test_delta,12.0,0.76525,0.5666128783663618,0.000977,0.000977107761027359,,1.813245177268982,false,0.45329030269308945,0.6122000000000001
mnistm,vgg,10,1,SIG,SIG,0.01,20.0,,test_delta,20.0,0.75684375,0.5665253196693221,0.000838,0.0013958682300390843,,3.2856080532073975,false,0.45322025573545766,0.6054750000000001
mnistm,vgg,11,1,SIG,SIG,0.01,28.0,,test_delta,28.0,0.7039756944444444,0.5202432240868465,0.000419,0.001256281407035176,,4.0729217529296875,true,0.5632349353865699,0.7102209116726482
mnistm,vgg,12,1,SIG,SIG,0.01,36.0,,test_delta,36.0,0.77021875,0.5526511248888465,0.001117,0.001954215522054718,,3.2976903915405273,false,0.4421208999110772,0.616175
mnistm,vgg,13,1,SIG,SIG,0.01,44.0,,test_delta,44.0,0.7770312500000001,0.5629578571867858,0.001117,0.0034896705750977106,,2.195894956588745,false,0.45036628574942866,0.6216250000000001
mnistm,vgg,14,1,SIG,SIG,0.01,56.0,,test_delta,56.0,0.788886994949495,0.5930265951793674,0.001535,0.013819095477386936,,2.098745107650757,false,0.47442127614349394,0.631109595959596
mnistm,vgg,15,1,SIG,SIG,0.05,4.0,,test_delta,4.0,0.7055069444444444,0.55054753288051,0.000698,0.001256281407035176,,1.8964020013809204,false,0.440438026304408,0.5644055555555555
mnistm,vgg,16,1,SIG,SIG,0.05,12.0,,test_delta,12.0,0.7485852272727272,0.5546596547746905,0.000838,0.0015354550530429928,,1.9176485538482666,false,0.4437277238197524,0.5988681818181818
mnistm,vgg,17,1,SIG,SIG,0.05,20.0,,test_delta,20.0,0.792969246031746,0.5833417635269471,0.001117,0.008793969849246231,,1.007206678390503,false,0.4666734108215577,0.6343753968253969
mnistm,vgg,18,1,SIG,SIG,0.05,28.0,,test_delta,28.0,0.801875,0.5627523783682475,0.000558,0.02666108319374651,,2.38651704788208,false,0.45020190269459803,0.6415000000000001
