dataset,arch,group_id,point_id,attack_type,trigger_type,poison_rate,train_param_value,alpha,test_param_type,test_param_value,stealth_tpr_avg,stealth_auc_avg,transfer_rate,asr,cover_rate,nc_max_anomaly_index,nc_is_poisoned,S_stealth,S_stealth_tpr
tiny_imagenet,mobilenet,1,1,SIG,SIG,0.001,4.0,,test_delta,4.0,0.9330539772727273,0.5120829032472074,0.0,0.001381562421502135,,,,0.4096663225977659,0.7464431818181819
tiny_imagenet,mobilenet,2,1,SIG,SIG,0.001,12.0,,test_delta,12.0,0.95990625,0.5329437712165059,0.00201,0.005400653102235619,,,,0.42635501697320477,0.767925
tiny_imagenet,mobilenet,3,1,SIG,SIG,0.001,20.0,,test_delta,20.0,0.9531709183673469,0.5203086096117823,0.007035,0.02461693041949259,,,,0.41624688768942586,0.7625367346938776
tiny_imagenet,mobilenet,4,1,SIG,SIG,0.001,28.0,,test_delta,28.0,0.9574755619891008,0.5275050170917235,0.01005,0.04609394624466215,,,,0.4220040136733788,0.7659804495912806
tiny_imagenet,mobilenet,5,1,SIG,SIG,0.001,36.0,,test_delta,36.0,0.9388568579027355,0.5427189254377546,0.033166,0.1239638281838734,,,,0.43417514035020366,0.7510854863221885
tiny_imagenet,mobilenet,6,1,SIG,SIG,0.001,44.0,,test_delta,44.0,0.9638425309452363,0.5236991555515202,0.069347,0.1674202461693042,,,,0.4189593244412162,0.7710740247561891
tiny_imagenet,mobilenet,7,1,SIG,SIG,0.001,56.0,,test_delta,56.0,0.965164048269581,0.5350220295118149,0.175879,0.34476262245666917,,,,0.42801762360945195,0.7721312386156649
tiny_imagenet,mobilenet,8,1,SIG,SIG,0.005,4.0,,test_delta,4.0,0.92240625,0.5395296814875652,0.001005,0.003391107761868877,,,,0.4316237451900522,0.737925
tiny_imagenet,mobilenet,9,1,SIG,SIG,0.005,12.0,,test_delta,12.0,0.9518846450617284,0.5312470913849201,0.051256,0.20346646571213264,,,,0.4249976731079361,0.7615077160493828
tiny_imagenet,mobilenet,10,1,SIG,SIG,0.005,20.0,,test_delta,20.0,0.9614814738379477,0.5357174503431774,0.248241,0.49447375031399143,,,,0.428573960274542,0.7691851790703582
tiny_imagenet,mobilenet,11,1,SIG,SIG,0.005,28.0,,test_delta,28.0,0.9228779507963595,0.5142416489637716,0.311558,0.5519969856819894,,,,0.4113933191710173,0.7383023606370877
tiny_imagenet,mobilenet,12,1,SIG,SIG,0.005,36.0,,test_delta,36.0,0.9644965185382296,0.5419201417803629,0.557789,0.7079879427279578,,,,0.4335361134242903,0.7715972148305837
tiny_imagenet,mobilenet,13,1,SIG,SIG,0.005,44.0,,test_delta,44.0,0.9655641196823332,0.532943994222828,0.498492,0.6760864104496358,,,,0.42635519537826244,0.7724512957458667
tiny_imagenet,mobilenet,14,1,SIG,SIG,0.005,56.0,,test_delta,56.0,0.845730852257275,0.4055225829158069,0.908543,0.9236372770660638,,,,0.3244180663326455,0.67658468180582
tiny_imagenet,mobilenet,15,1,WaNet,WaNet,0.005,0.4,,test_s,0.4,0.9243829911642412,0.5025362523558499,0.230151,0.06041195679477518,0.01,,,0.40202900188467994,0.739506392931393
