dataset,arch,group_id,point_id,attack_type,trigger_type,poison_rate,train_param_value,alpha,test_param_type,test_param_value,stealth_tpr_avg,stealth_auc_avg,transfer_rate,asr,cover_rate
tiny_imagenet,mobilenet,1,1,SIG,SIG,0.001,4.0,,test_delta,4.0,0.9330539772727273,0.5120829032472074,0.003015,0.001381562421502135,
tiny_imagenet,mobilenet,2,1,SIG,SIG,0.001,12.0,,test_delta,12.0,0.95990625,0.5329437712165059,0.01809,0.005400653102235619,
tiny_imagenet,mobilenet,3,1,SIG,SIG,0.001,20.0,,test_delta,20.0,0.9531709183673469,0.5203086096117823,0.063819,0.02461693041949259,
tiny_imagenet,mobilenet,4,1,SIG,SIG,0.001,28.0,,test_delta,28.0,0.9574755619891008,0.5275050170917235,0.096985,0.04609394624466215,
tiny_imagenet,mobilenet,5,1,SIG,SIG,0.001,36.0,,test_delta,36.0,0.9388568579027355,0.5427189254377546,0.229648,0.1239638281838734,
tiny_imagenet,mobilenet,6,1,SIG,SIG,0.001,44.0,,test_delta,44.0,0.9638425309452363,0.5236991555515202,0.265327,0.1674202461693042,
tiny_imagenet,mobilenet,7,1,SIG,SIG,0.001,56.0,,test_delta,56.0,0.965164048269581,0.5350220295118149,0.435176,0.34476262245666917,
tiny_imagenet,mobilenet,8,1,SIG,SIG,0.005,4.0,,test_delta,4.0,0.92240625,0.5395296814875652,0.01206,0.003391107761868877,
tiny_imagenet,mobilenet,9,1,SIG,SIG,0.005,12.0,,test_delta,12.0,0.9518846450617284,0.5312470913849201,0.277387,0.20346646571213264,
tiny_imagenet,mobilenet,10,1,SIG,SIG,0.005,20.0,,test_delta,20.0,0.9614814738379477,0.5357174503431774,0.617588,0.49447375031399143,
tiny_imagenet,mobilenet,11,1,SIG,SIG,0.005,28.0,,test_delta,28.0,0.9228779507963595,0.5142416489637716,0.698995,0.5519969856819894,
tiny_imagenet,mobilenet,12,1,SIG,SIG,0.005,36.0,,test_delta,36.0,0.9644965185382296,0.5419201417803629,0.837186,0.7079879427279578,
tiny_imagenet,mobilenet,13,1,SIG,SIG,0.005,44.0,,test_delta,44.0,0.9655641196823332,0.532943994222828,0.853769,0.6760864104496358,
tiny_imagenet,mobilenet,14,1,SIG,SIG,0.005,56.0,,test_delta,56.0,0.845730852257275,0.4055225829158069,0.958291,0.9236372770660638,
tiny_imagenet,mobilenet,15,1,WaNet,WaNet,0.005,0.4,,test_s,0.4,0.9243829911642412,0.5025362523558499,0.266834,0.06041195679477518,0.01
tiny_imagenet,mobilenet,16,1,WaNet,WaNet,0.005,0.6,,test_s,0.6,0.9486863425925925,0.49711103827241354,0.459296,0.220422004521477,0.01
tiny_imagenet,mobilenet,17,1,WaNet,WaNet,0.005,0.8,,test_s,0.8,0.9585506651017215,0.4939668091220598,0.537186,0.32102486812358705,0.01
tiny_imagenet,mobilenet,18,1,WaNet,WaNet,0.005,1.0,,test_s,1.0,0.9374313811188811,0.5334443070564738,0.536181,0.2873649836724441,0.01
