dataset,arch,group_id,point_id,attack_type,trigger_type,poison_rate,train_param_value,alpha,test_param_type,test_param_value,stealth_tpr_avg,stealth_auc_avg,transfer_rate,asr,cover_rate,nc_max_anomaly_index,nc_is_poisoned,S_stealth,S_stealth_tpr
tiny_imagenet,resnet18,1,1,SIG,SIG,0.001,4.0,,test_delta,4.0,0.97778125,0.5128753091384204,0.00402,0.0021351419241396634,,,,0.41030024731073633,0.7822250000000001
tiny_imagenet,resnet18,2,1,SIG,SIG,0.001,12.0,,test_delta,12.0,0.9604469246031746,0.5475425837137128,0.062312,0.031650339110776186,,,,0.43803406697097025,0.7683575396825397
tiny_imagenet,resnet18,3,1,SIG,SIG,0.001,20.0,,test_delta,20.0,0.9315046737536656,0.529557158637543,0.279397,0.17131374026626475,,,,0.42364572691003444,0.7452037390029326
tiny_imagenet,resnet18,4,1,SIG,SIG,0.001,28.0,,test_delta,28.0,0.8452424647791926,0.5292483286046313,0.559296,0.46382818387339864,,,,0.4233986628837051,0.6761939718233542
tiny_imagenet,resnet18,5,1,SIG,SIG,0.001,36.0,,test_delta,36.0,0.9250192110101666,0.5000278805072292,0.721608,0.5806330067822155,,,,0.4000223044057834,0.7400153688081333
tiny_imagenet,resnet18,6,1,SIG,SIG,0.001,44.0,,test_delta,44.0,0.8474347790237466,0.5093777630743257,0.821608,0.714016578749058,,,,0.40750221045946056,0.6779478232189974
tiny_imagenet,resnet18,7,1,SIG,SIG,0.001,56.0,,test_delta,56.0,0.8922732645875251,0.465643935278374,0.917085,0.8739010298919869,,,,0.3725151482226992,0.7138186116700201
tiny_imagenet,resnet18,8,1,SIG,SIG,0.005,4.0,,test_delta,4.0,0.8029826388888889,0.5241228806277937,0.045729,0.01808590806330068,,,,0.41929830450223493,0.6423861111111111
tiny_imagenet,resnet18,9,1,SIG,SIG,0.005,12.0,,test_delta,12.0,0.8713405641466209,0.49811903601470875,0.558291,0.4385832705350414,,,,0.398495228811767,0.6970724513172968
tiny_imagenet,resnet18,10,1,SIG,SIG,0.005,20.0,,test_delta,20.0,0.9406437283174328,0.4411592966437019,0.831658,0.7240643054508917,,,,0.35292743731496157,0.7525149826539463
