dataset,arch,group_id,point_id,attack_type,trigger_type,poison_rate,train_param_value,alpha,test_param_type,test_param_value,stealth_tpr_avg,stealth_auc_avg,transfer_rate,asr,cover_rate
tiny_imagenet,resnet18,1,1,SIG,SIG,0.001,4.0,,test_delta,4.0,0.97778125,0.5128753091384204,0.018593,0.0021351419241396634,
tiny_imagenet,resnet18,2,1,SIG,SIG,0.001,12.0,,test_delta,12.0,0.9604469246031746,0.5475425837137128,0.145829,0.031650339110776186,
tiny_imagenet,resnet18,3,1,SIG,SIG,0.001,20.0,,test_delta,20.0,0.9315046737536656,0.529557158637543,0.421206,0.17131374026626475,
tiny_imagenet,resnet18,4,1,SIG,SIG,0.001,28.0,,test_delta,28.0,0.8452424647791926,0.5292483286046313,0.734472,0.46382818387339864,
tiny_imagenet,resnet18,5,1,SIG,SIG,0.001,36.0,,test_delta,36.0,0.9250192110101666,0.5000278805072292,0.92191,0.5806330067822155,
tiny_imagenet,resnet18,6,1,SIG,SIG,0.001,44.0,,test_delta,44.0,0.8474347790237466,0.5093777630743257,0.96,0.714016578749058,
tiny_imagenet,resnet18,7,1,SIG,SIG,0.001,56.0,,test_delta,56.0,0.8922732645875251,0.465643935278374,0.988141,0.8739010298919869,
tiny_imagenet,resnet18,8,1,SIG,SIG,0.005,4.0,,test_delta,4.0,0.8029826388888889,0.5241228806277937,0.053769,0.01808590806330068,
tiny_imagenet,resnet18,9,1,SIG,SIG,0.005,12.0,,test_delta,12.0,0.8713405641466209,0.49811903601470875,0.732764,0.4385832705350414,
tiny_imagenet,resnet18,10,1,SIG,SIG,0.005,20.0,,test_delta,20.0,0.9406437283174328,0.4411592966437019,0.957387,0.7240643054508917,
tiny_imagenet,resnet18,11,1,SIG,SIG,0.005,28.0,,test_delta,28.0,0.7291422835195531,0.37959704117186777,0.98593,0.899271539814117,
tiny_imagenet,resnet18,12,1,SIG,SIG,0.005,36.0,,test_delta,36.0,0.8771595479888491,0.34546325897701124,0.997387,0.9461190655614168,
tiny_imagenet,resnet18,13,1,SIG,SIG,0.005,44.0,,test_delta,44.0,0.9078359720775839,0.44202731744530976,0.997688,0.964832956543582,
tiny_imagenet,resnet18,14,1,SIG,SIG,0.005,56.0,,test_delta,56.0,0.8644111331865185,0.4225253959822919,0.999397,0.9837980406932931,
tiny_imagenet,resnet18,15,1,WaNet,WaNet,0.005,0.4,,test_s,0.4,0.9628333333333333,0.5106152294389756,0.221608,0.07535795026375283,0.01
tiny_imagenet,resnet18,16,1,WaNet,WaNet,0.005,0.6,,test_s,0.6,0.9622569252359258,0.4863123401487286,0.420302,0.3859583019341874,0.01
tiny_imagenet,resnet18,17,1,WaNet,WaNet,0.005,0.8,,test_s,0.8,0.9477640014546966,0.49257043785897414,0.489447,0.45327807083647326,0.01
tiny_imagenet,resnet18,18,1,WaNet,WaNet,0.005,1.0,,test_s,1.0,0.9621632462686567,0.5139218451251286,0.428141,0.3365988445114293,0.01
tiny_imagenet,resnet18,19,1,WaNet,WaNet,0.005,1.2,,test_s,1.2,0.9525745172449401,0.48794929626535066,0.442613,0.3039437327304697,0.01
tiny_imagenet,resnet18,20,1,WaNet,WaNet,0.005,1.4,,test_s,1.4,0.9623507639758031,0.49236852431043776,0.462513,0.30105501130369255,0.01
tiny_imagenet,resnet18,21,1,WaNet,WaNet,0.005,2.0,,test_s,2.0,0.9632120649405772,0.5068641172978076,0.564824,0.36988193921125345,0.01
tiny_imagenet,resnet18,22,1,WaNet,WaNet,0.005,4.0,,test_s,4.0,0.8964248368551896,0.36168513429524674,0.957789,0.808339613162522,0.01
tiny_imagenet,resnet18,23,1,WaNet,WaNet,0.01,0.4,,test_s,0.4,0.9240703046848949,0.4783616584828947,0.396382,0.3766641547349912,0.02
