dataset,arch,group_id,point_id,attack_type,trigger_type,poison_rate,train_param_value,alpha,test_param_type,test_param_value,stealth_tpr_avg,stealth_auc_avg,transfer_rate,asr,cover_rate,nc_max_anomaly_index,nc_is_poisoned,S_stealth,S_stealth_tpr
tiny_imagenet,vgg,1,1,SIG,SIG,0.001,4.0,,test_delta,4.0,0.96496875,0.48799810387659004,0.013367,0.0011303692539562924,,,,0.39039848310127206,0.7719750000000001
tiny_imagenet,vgg,2,1,SIG,SIG,0.001,12.0,,test_delta,12.0,0.960125,0.5199086218468404,0.035477,0.007033408691283597,,,,0.41592689747747236,0.7681
tiny_imagenet,vgg,3,1,SIG,SIG,0.001,20.0,,test_delta,20.0,0.7654053217821782,0.5363979415207144,0.245025,0.050741019844260236,,,,0.42911835321657155,0.6123242574257426
tiny_imagenet,vgg,4,1,SIG,SIG,0.001,28.0,,test_delta,28.0,0.9566511734354195,0.5281501593323628,0.57799,0.18864606882692792,,,,0.42252012746589024,0.7653209387483356
tiny_imagenet,vgg,5,1,SIG,SIG,0.001,36.0,,test_delta,36.0,0.8063646204363313,0.5588391873719742,0.773769,0.2820899271539814,,,,0.4470713498975794,0.645091696349065
tiny_imagenet,vgg,6,1,SIG,SIG,0.001,44.0,,test_delta,44.0,0.8595753321256039,0.5598146882153264,0.698794,0.3119819140919367,,,,0.4478517505722612,0.6876602657004831
tiny_imagenet,vgg,7,1,SIG,SIG,0.001,56.0,,test_delta,56.0,0.9057688650617034,0.5623388295625789,0.927739,0.6208239135895504,,,,0.44987106365006313,0.7246150920493628
tiny_imagenet,vgg,8,1,SIG,SIG,0.005,4.0,,test_delta,4.0,0.9684375,0.5194307340321747,0.015276,0.002009545340366742,,,,0.4155445872257397,0.77475
tiny_imagenet,vgg,9,1,SIG,SIG,0.005,12.0,,test_delta,12.0,0.7218621214001986,0.5254900722063618,0.550955,0.25307711630243657,,,,0.4203920577650895,0.5774896971201589
tiny_imagenet,vgg,10,1,SIG,SIG,0.005,20.0,,test_delta,20.0,0.7828060652059134,0.5555876508068355,0.81397,0.4757598593318262,,,,0.4444701206454684,0.6262448521647308
tiny_imagenet,vgg,11,1,SIG,SIG,0.005,28.0,,test_delta,28.0,0.9212882653061225,0.5585701170886845,0.917688,0.664531524742527,,,,0.44685609367094764,0.7370306122448981
tiny_imagenet,vgg,12,1,SIG,SIG,0.005,36.0,,test_delta,36.0,0.8946276232681336,0.5021631878049125,0.979095,0.7705350414468727,,,,0.40173055024393006,0.715702098614507
tiny_imagenet,vgg,13,1,SIG,SIG,0.005,44.0,,test_delta,44.0,0.8407370420017872,0.49063504924484413,0.98191,0.843381060035167,,,,0.3925080393958753,0.6725896336014299
tiny_imagenet,vgg,14,1,SIG,SIG,0.005,56.0,,test_delta,56.0,0.84495796460177,0.3939648067041469,0.996985,0.9083144938457673,,,,0.31517184536331755,0.675966371681416
tiny_imagenet,vgg,15,1,WaNet,WaNet,0.005,0.4,,test_s,0.4,0.942950918079096,0.5103421069919135,0.129849,0.022230595327807082,0.01,,,0.40827368559353083,0.7543607344632769
tiny_imagenet,vgg,16,1,WaNet,WaNet,0.005,0.6,,test_s,0.6,0.9406644486692015,0.4993132194544606,0.230352,0.06606380306455664,0.01,,,0.3994505755635685,0.7525315589353613
tiny_imagenet,vgg,17,1,WaNet,WaNet,0.005,0.8,,test_s,0.8,0.9417356892523364,0.5007484940960966,0.292965,0.13438834463702587,0.01,,,0.40059879527687725,0.7533885514018692
tiny_imagenet,vgg,18,1,WaNet,WaNet,0.005,1.0,,test_s,1.0,0.9339004854368932,0.5157171337398965,0.31608,0.10349158502888721,0.01,,,0.4125737069919172,0.7471203883495146
tiny_imagenet,vgg,19,1,WaNet,WaNet,0.005,1.2,,test_s,1.2,0.9620684618441971,0.521337237437517,0.339598,0.07887465460939462,0.01,,,0.41706978995001365,0.7696547694753577
tiny_imagenet,vgg,20,1,WaNet,WaNet,0.005,1.4,,test_s,1.4,0.9449873658318426,0.5051326448078488,0.264121,0.07020849032906305,0.01,,,0.4041061158462791,0.7559898926654741
tiny_imagenet,vgg,21,1,WaNet,WaNet,0.005,2.0,,test_s,2.0,0.9415093573446328,0.5168809225679493,0.339799,0.11115297663903542,0.01,,,0.41350473805435944,0.7532074858757063
tiny_imagenet,vgg,22,1,WaNet,WaNet,0.005,4.0,,test_s,4.0,0.9261797423887588,0.4909373682407997,0.545729,0.2680231097714142,0.01,,,0.39274989459263976,0.7409437939110071
tiny_imagenet,vgg,23,1,WaNet,WaNet,0.01,0.4,,test_s,0.4,0.9600203313253012,0.5093947462463237,0.208543,0.041698065812609895,0.02,,,0.40751579699705903,0.768016265060241
tiny_imagenet,vgg,24,1,WaNet,WaNet,0.01,0.6,,test_s,0.6,0.8110746280385582,0.42822001867206616,0.60593,0.5994724943481538,0.02,,,0.34257601493765294,0.6488597024308467
