dataset,arch,group_id,point_id,attack_type,trigger_type,poison_rate,train_param_value,alpha,test_param_type,test_param_value,stealth_tpr_avg,stealth_auc_avg,transfer_rate,asr,cover_rate
tiny_imagenet,vgg,1,1,SIG,SIG,0.001,4.0,,test_delta,4.0,0.96496875,0.48799810387659004,0.00201,0.0011303692539562924,
tiny_imagenet,vgg,2,1,SIG,SIG,0.001,12.0,,test_delta,12.0,0.960125,0.5199086218468404,0.01407,0.007033408691283597,
tiny_imagenet,vgg,3,1,SIG,SIG,0.001,20.0,,test_delta,20.0,0.7654053217821782,0.5363979415207144,0.105528,0.050741019844260236,
tiny_imagenet,vgg,4,1,SIG,SIG,0.001,28.0,,test_delta,28.0,0.9566511734354195,0.5281501593323628,0.315578,0.18864606882692792,
tiny_imagenet,vgg,5,1,SIG,SIG,0.001,36.0,,test_delta,36.0,0.8063646204363313,0.5588391873719742,0.427638,0.2820899271539814,
tiny_imagenet,vgg,6,1,SIG,SIG,0.001,44.0,,test_delta,44.0,0.8595753321256039,0.5598146882153264,0.373367,0.3119819140919367,
tiny_imagenet,vgg,7,1,SIG,SIG,0.001,56.0,,test_delta,56.0,0.9057688650617034,0.5623388295625789,0.690955,0.6208239135895504,
tiny_imagenet,vgg,8,1,SIG,SIG,0.005,4.0,,test_delta,4.0,0.9684375,0.5194307340321747,0.007035,0.002009545340366742,
tiny_imagenet,vgg,9,1,SIG,SIG,0.005,12.0,,test_delta,12.0,0.7218621214001986,0.5254900722063618,0.348744,0.25307711630243657,
tiny_imagenet,vgg,10,1,SIG,SIG,0.005,20.0,,test_delta,20.0,0.7828060652059134,0.5555876508068355,0.576884,0.4757598593318262,
tiny_imagenet,vgg,11,1,SIG,SIG,0.005,28.0,,test_delta,28.0,0.9212882653061225,0.5585701170886845,0.766834,0.664531524742527,
tiny_imagenet,vgg,12,1,SIG,SIG,0.005,36.0,,test_delta,36.0,0.8946276232681336,0.5021631878049125,0.882915,0.7705350414468727,
tiny_imagenet,vgg,13,1,SIG,SIG,0.005,44.0,,test_delta,44.0,0.8407370420017872,0.49063504924484413,0.91407,0.843381060035167,
tiny_imagenet,vgg,14,1,SIG,SIG,0.005,56.0,,test_delta,56.0,0.84495796460177,0.3939648067041469,0.971859,0.9083144938457673,
tiny_imagenet,vgg,15,1,WaNet,WaNet,0.005,0.4,,test_s,0.4,0.942950918079096,0.5103421069919135,0.115075,0.022230595327807082,0.01
tiny_imagenet,vgg,16,1,WaNet,WaNet,0.005,0.6,,test_s,0.6,0.9406644486692015,0.4993132194544606,0.262312,0.06606380306455664,0.01
tiny_imagenet,vgg,17,1,WaNet,WaNet,0.005,0.8,,test_s,0.8,0.9417356892523364,0.5007484940960966,0.373367,0.13438834463702587,0.01
tiny_imagenet,vgg,18,1,WaNet,WaNet,0.005,1.0,,test_s,1.0,0.9339004854368932,0.5157171337398965,0.340704,0.10349158502888721,0.01
tiny_imagenet,vgg,19,1,WaNet,WaNet,0.005,1.2,,test_s,1.2,0.9620684618441971,0.521337237437517,0.288945,0.07887465460939462,0.01
tiny_imagenet,vgg,20,1,WaNet,WaNet,0.005,1.4,,test_s,1.4,0.9449873658318426,0.5051326448078488,0.292965,0.07020849032906305,0.01
tiny_imagenet,vgg,21,1,WaNet,WaNet,0.005,2.0,,test_s,2.0,0.9415093573446328,0.5168809225679493,0.345226,0.11115297663903542,0.01
tiny_imagenet,vgg,22,1,WaNet,WaNet,0.005,4.0,,test_s,4.0,0.9261797423887588,0.4909373682407997,0.542211,0.2680231097714142,0.01
