dataset,arch,group_id,point_id,attack_type,trigger_type,poison_rate,train_param_value,alpha,test_param_type,test_param_value,stealth_tpr_avg,stealth_auc_avg,transfer_rate,asr,cover_rate,stealth_mean,tradeoff_hmean,tradeoff_product,defense_tpr_mean,defense_auc_mean
tiny_imagenet,resnet18,1,1,SIG,SIG,0.001,4.0,-1.0,test_delta,4.0,0.97778125,0.5128753091384204,0.0,0.0021351419241396,-1.0,0.7453282795692102,0.0,0.0,0.02221875,0.4871246908615795
tiny_imagenet,vgg,2,1,SIG,SIG,0.001,12.0,-1.0,test_delta,12.0,0.960125,0.5199086218468404,0.0,0.0070334086912835,-1.0,0.7400168109234202,0.0,0.0,0.039875,0.4800913781531596
tiny_imagenet,resnet18,140,1,upgd,upgd,0.001,4.0,-1.0,test_eps,4.0,0.9499375,0.5234594219900655,0.0,0.003139914594323,-1.0,0.7366984609950327,0.0,0.0,0.050062499999999996,0.4765405780099345
tiny_imagenet,resnet18,119,1,blend,blend,0.005,0.01,0.01,test_alpha,0.01,0.960664402173913,0.5117603175420655,0.0,0.0057774428535543,-1.0,0.7362123598579893,0.0,0.0,0.039335597826086956,0.48823968245793437
tiny_imagenet,vgg,140,1,upgd,upgd,0.001,4.0,-1.0,test_eps,4.0,0.9502772177419356,0.5087760159024467,0.0,0.0038934940969605,-1.0,0.7295266168221912,0.0,0.0,0.049722782258064514,0.49122398409755336
tiny_imagenet,vgg,1,1,SIG,SIG,0.001,4.0,-1.0,test_delta,4.0,0.96496875,0.48799810387659,0.0,0.0011303692539562,-1.0,0.726483426938295,0.0,0.0,0.03503125,0.5120018961234101
tiny_imagenet,mobilenet,1,1,SIG,SIG,0.001,4.0,-1.0,test_delta,4.0,0.9330539772727272,0.5120829032472074,0.0,0.0013815624215021,-1.0,0.7225684402599672,0.0,0.0,0.06694602272727274,0.48791709675279255
mnistm,resnet18,127,1,blend,blend,0.005,0.01,0.01,test_alpha,0.01,0.89771875,0.5960011877118502,0.000558,0.0009771077610273,-1.0,0.7468599688559251,0.0011151668276306588,0.0004167478626216062,0.10228124999999999,0.4039988122881498
mnistm,resnet18,11,1,SIG,SIG,0.01,28.0,-1.0,test_delta,28.0,0.80859375,0.5665107162944452,0.000558,0.001395868230039,-1.0,0.6875522331472226,0.0011150950170917358,0.0003836541460961502,0.19140625,0.43348928370555484
mnistm,vgg,18,1,SIG,SIG,0.05,28.0,-1.0,test_delta,28.0,0.801875,0.5627523783682475,0.000558,0.0266610831937465,-1.0,0.6823136891841237,0.0011150880746560983,0.00038073103856474107,0.198125,0.43724762163175246
mnistm,vgg,109,1,belt,belt,0.01,0.2,0.1,test_mask_rate,0.2,0.96146875,0.5935348900907527,0.000698,0.0026521496370742,0.5,0.7775018200453763,0.0013947478691527543,0.0005426962703916727,0.03853125,0.40646510990924734
mnistm,resnet18,53,1,adaptive_blend,adaptive_blend,0.01,0.01,0.01,test_alpha,0.01,0.8916597222222222,0.5746076806773299,0.000698,0.0012562814070351,0.01,0.7331337014497761,0.0013946721642059416,0.0005117273236119438,0.10834027777777779,0.42539231932267
mnistm,resnet18,8,1,SIG,SIG,0.01,4.0,-1.0,test_delta,4.0,0.8751875,0.583967939873011,0.000698,0.0008375209380234,-1.0,0.7295777199365054,0.001394665698484287,0.0005092452485156809,0.12481249999999999,0.41603206012698896
mnistm,resnet18,1,1,SIG,SIG,0.005,4.0,-1.0,test_delta,4.0,0.85546875,0.5744463177206871,0.000698,0.0011166945840312,-1.0,0.7149575338603436,0.0013946384399282938,0.0004990403586345198,0.14453125,0.4255536822793129
mnistm,vgg,5,1,SIG,SIG,0.005,36.0,-1.0,test_delta,36.0,0.7412366071428571,0.6012908021878101,0.000698,0.0019542155220547,-1.0,0.6712637046653336,0.0013945499054585481,0.00046854206585640287,0.2587633928571429,0.3987091978121899
mnistm,vgg,148,1,upgd,upgd,0.005,4.0,-1.0,test_eps,4.0,0.77853125,0.563335675998264,0.000698,0.0069793411501954,-1.0,0.6709334629991319,0.0013945491924460347,0.00046831155717339413,0.22146875,0.4366643240017361
mnistm,resnet18,6,1,SIG,SIG,0.005,44.0,-1.0,test_delta,44.0,0.7405937499999999,0.5797909850352705,0.000698,0.0011166945840312,-1.0,0.6601923675176352,0.00139452561325162,0.0004608142725273094,0.25940625,0.4202090149647295
mnistm,mobilenet,5,1,SIG,SIG,0.005,36.0,-1.0,test_delta,36.0,0.9335625,0.5897298863766548,0.000838,0.001395868230039,-1.0,0.7616461931883274,0.0016741580103396933,0.0006382595098918183,0.0664375,0.4102701136233452
mnistm,mobilenet,7,1,SIG,SIG,0.005,56.0,-1.0,test_delta,56.0,0.91659375,0.581736828732369,0.000838,0.0036292573981016,-1.0,0.7491652893661844,0.001674127357546409,0.0006278005124888625,0.08340625,0.418263171267631
mnistm,mobilenet,127,1,blend,blend,0.005,0.01,0.01,test_alpha,0.01,0.9335178571428572,0.5580644840343345,0.000838,0.0019542155220547,-1.0,0.7457911705885958,0.0016741188948204463,0.0006249730009532433,0.06648214285714285,0.4419355159656655
