dataset,arch,group_id,point_id,attack_type,trigger_type,poison_rate,train_param_value,alpha,test_param_type,test_param_value,stealth_tpr_avg,stealth_auc_avg,transfer_rate,asr,cover_rate,stealth_mean,tradeoff_hmean,tradeoff_product,defense_tpr_mean,defense_auc_mean
cifar10,mobilenet,99,1,basic,basic,0.01,1.0,1.0,test_alpha,1.0,0.0,0.0226574257210877,1.0,1.0,-1.0,0.01132871286054385,0.02240362152578577,0.01132871286054385,1.0,0.9773425742789124
tiny_imagenet,resnet18,99,1,basic,basic,0.05,0.9,0.9,test_alpha,0.9,0.0139222538720324,0.0100961259340272,0.999497,0.9893242903793016,-1.0,0.0120091899030298,0.02373321962895607,0.012003149280508576,0.9860777461279675,0.9899038740659728
cifar10,mobilenet,107,1,basic,basic,0.05,0.9,0.9,test_alpha,0.9,0.0001702740511608,0.0274652772449774,1.0,1.0,-1.0,0.0138177756480691,0.027258894014235008,0.0138177756480691,0.9998297259488391,0.9725347227550225
cifar10,mobilenet,98,1,basic,basic,0.01,0.9,0.9,test_alpha,0.9,3.475601279023799e-05,0.0285147473609097,1.0,1.0,-1.0,0.01427475168684997,0.028147701918261287,0.01427475168684997,0.9999652439872098,0.9714852526390902
cifar10,mobilenet,108,1,basic,basic,0.05,1.0,1.0,test_alpha,1.0,0.0,0.0299653490436477,1.0,1.0,-1.0,0.01498267452182385,0.02952301531429086,0.01498267452182385,1.0,0.9700346509563522
cifar10,mobilenet,97,1,basic,basic,0.01,0.8,0.8,test_alpha,0.8,0.0044484655220353,0.0273159007367915,1.0,1.0,-1.0,0.0158821831294134,0.031267765875150046,0.0158821831294134,0.9955515344779646,0.9726840992632084
cifar10,vgg,90,1,basic,basic,0.005,1.0,1.0,test_alpha,1.0,0.00309375,0.0290106706767222,1.0,1.0,-1.0,0.0160522103383611,0.03159721552697664,0.0160522103383611,0.99690625,0.9709893293232778
cifar10,mobilenet,106,1,basic,basic,0.05,0.8,0.8,test_alpha,0.8,0.007194494647574,0.0255174216554708,1.0,1.0,-1.0,0.0163559581515224,0.032185491746945585,0.0163559581515224,0.992805505352426,0.9744825783445291
cifar10,mobilenet,89,1,basic,basic,0.005,0.9,0.9,test_alpha,0.9,0.0,0.0345343234855206,1.0,1.0,-1.0,0.0172671617427603,0.03394813553831536,0.0172671617427603,1.0,0.9654656765144793
cifar10,vgg,89,1,basic,basic,0.005,0.9,0.9,test_alpha,0.9,0.0057847560127901,0.0313101181351674,1.0,1.0,-1.0,0.01854743707397875,0.0364193878436545,0.01854743707397875,0.9942152439872098,0.9686898818648325
cifar10,mobilenet,88,1,basic,basic,0.005,0.8,0.8,test_alpha,0.8,0.0043234655220353,0.0353900043603339,1.0,1.0,-1.0,0.0198567349411846,0.03894024378302457,0.0198567349411846,0.9956765344779648,0.9646099956396661
cifar10,mobilenet,96,1,basic,basic,0.01,0.7,0.7,test_alpha,0.7,0.0125118604893645,0.0325687225720248,1.0,1.0,-1.0,0.02254029153069465,0.044086852552192135,0.02254029153069465,0.9874881395106354,0.9674312774279751
cifar10,vgg,99,1,basic,basic,0.01,1.0,1.0,test_alpha,1.0,0.0222499999999999,0.0245952512119257,1.0,1.0,-1.0,0.0234226256059628,0.045773124455000966,0.0234226256059628,0.97775,0.9754047487880743
cifar10,mobilenet,87,1,basic,basic,0.005,0.7,0.7,test_alpha,0.7,0.0146850323230918,0.0433486682779938,1.0,1.0,-1.0,0.029016850300542803,0.05639723060330433,0.029016850300542803,0.9853149676769082,0.956651331722006
cifar10,mobilenet,68,1,adaptive_patch,adaptive_patch,0.005,0.1,0.1,test_alpha,0.1,0.0306495420895315,0.0359688824846755,1.0,1.0,0.01,0.0333092122871035,0.06447094807831556,0.0333092122871035,0.9693504579104685,0.9640311175153243
cifar10,mobilenet,104,1,basic,basic,0.05,0.6,0.6,test_alpha,0.6,0.027062304497428,0.0404934715171332,1.0,1.0,-1.0,0.0337778880072806,0.06534844360502072,0.0337778880072806,0.9729376955025719,0.9595065284828668
cifar10,mobilenet,103,1,basic,basic,0.05,0.5,0.5,test_alpha,0.5,0.0353246472264701,0.0399844121522052,0.995781,1.0,-1.0,0.03765452968933765,0.07256507861666021,0.037495665228578334,0.9646753527735299,0.9600155878477946
cifar10,resnet18,87,1,basic,basic,0.005,0.7,0.7,test_alpha,0.7,0.0495513389753927,0.0278034642579703,1.0,1.0,-1.0,0.0386774016166815,0.0744743296744126,0.0386774016166815,0.9504486610246072,0.9721965357420297
cifar10,vgg,88,1,basic,basic,0.005,0.8,0.8,test_alpha,0.8,0.039436070658974,0.0389257247571601,1.0,1.0,-1.0,0.03918089770806705,0.0754072708504963,0.03918089770806705,0.960563929341026,0.9610742752428398
cifar10,mobilenet,90,1,basic,basic,0.005,1.0,1.0,test_alpha,1.0,0.03265625,0.0462886349171489,1.0,1.0,-1.0,0.03947244245857445,0.07594706862110494,0.03947244245857445,0.96734375,0.953711365082851
