dataset,attack_type,n_points,transfer_mean,transfer_median,transfer_std,transfer_q25,transfer_q75,transfer_max,stealth_auc_mean,stealth_tpr_mean,stealth_mean_mean,stealth_mean_median,asr_mean,asr_median,tradeoff_hmean_mean,tradeoff_hmean_max,rank_transfer_mean,rank_stealth_mean,rank_tradeoff_mean
cifar10,upgd,72,0.7776171666666667,0.832578,0.1955832433057597,0.6691405,0.92566375,0.998281,0.3193715041665866,0.5721291773377527,0.4457503407521696,0.445342175606132,0.8440845266231058,0.9272209092172946,0.5320807057952831,0.7112513545775959,2.0,6.0,1.0
cifar10,blend,63,0.6474677936507935,0.834844,0.3526086739602947,0.30125,0.9366405,0.996875,0.3645275056841792,0.6641030986434913,0.5143153021638353,0.49960905335975503,0.7308803311861841,0.9658000834144308,0.47315907529415796,0.7582600134566352,3.0,4.0,2.0
cifar10,SIG,63,0.477152873015873,0.442812,0.3145585002842049,0.22125,0.728047,0.999062,0.4544562408535385,0.743552405586563,0.5990043232200508,0.6227322788142216,0.6031106079764497,0.7391908800222439,0.448403483971623,0.7709204397273245,7.0,1.0,3.0
cifar10,belt,54,0.639771425925926,0.6521095,0.15840781753729322,0.54941425,0.72398475,0.989375,0.22899693771739404,0.4963722997860831,0.3626846187517386,0.341176963062912,0.9178728290364603,0.9744890866119837,0.4425930195985927,0.614786625316215,4.0,7.0,4.0
cifar10,adaptive_blend,63,0.4843725238095238,0.558438,0.3076157585016997,0.12796849999999999,0.763516,0.909219,0.42613653346043695,0.7208081046898364,0.5734723190751366,0.5814578424956284,0.5224898986889811,0.7038787710273877,0.433994341582569,0.7151955699221,6.0,2.0,5.0
cifar10,adaptive_patch,45,0.5439443555555555,0.499375,0.26487777036520715,0.352187,0.773906,1.0,0.3658473723263586,0.5485740414529299,0.4572107068896442,0.4787219379646302,0.4136954137510233,0.3314333379674684,0.4274917040194128,0.6504345016684635,5.0,5.0,6.0
cifar10,WaNet,72,0.19505206944444445,0.0564065,0.22994985128233889,0.038476750000000004,0.299805,0.795156,0.41493761555703446,0.6999726906296985,0.5574551530933665,0.5647560865184191,0.6617235892920585,0.7246628666759349,0.21902341756012578,0.673442192610435,8.0,3.0,7.0
cifar10,basic,81,0.9092959012345679,0.998594,0.21925302704162403,0.959688,1.0,1.0,0.08452660376789438,0.1665999245397858,0.12556326415384012,0.0983211489352037,0.9339223833871408,0.9998609759488392,0.17359193994333166,0.5149254486128944,1.0,8.0,8.0
mnistm,belt,54,0.7465516481481481,0.994696,0.3749977975841316,0.6171132500000001,1.0,1.0,0.4574341387117599,0.763385481587804,0.6104098101497819,0.6063700600695093,0.7694982112207126,0.9081518704634282,0.5821881461245754,0.8478202574126065,4.0,4.0,1.0
mnistm,blend,63,0.8465652857142857,0.999721,0.3418097281948347,0.9900195,1.0,1.0,0.3847231775527974,0.6189217482385498,0.5018224628956736,0.4791436234170239,0.7677939964372126,0.9479341150195422,0.5417052295335565,0.8373730293236902,2.0,7.0,2.0
mnistm,adaptive_blend,63,0.6251029682539683,0.776661,0.3669774754647523,0.358808,0.9161085,0.991625,0.5132760545012247,0.7615681353842764,0.6374220949427506,0.6452024743848921,0.5411559561475809,0.6507537688442211,0.5315549761616054,0.8247589467664599,5.0,3.0,3.0
mnistm,WaNet,72,0.7826128611111112,0.998883,0.37217577845623107,0.7741835,1.0,1.0,0.4529940815459632,0.624679151322128,0.5388366164340456,0.5045802300672595,0.5700396271480861,0.621929089893914,0.5311319789344046,0.7667724603787197,3.0,6.0,4.0
mnistm,adaptive_patch,45,0.48279051111111115,0.472641,0.1943567559030677,0.299274,0.625209,0.917923,0.5015298599465005,0.6509190768207789,0.5762244683836397,0.5597980616940343,0.32361188659346113,0.3260748185371301,0.49103300334434324,0.6236784261021385,6.0,5.0,5.0
mnistm,basic,81,0.862600012345679,1.0,0.3305381463910971,0.994277,1.0,1.0,0.24861349225245555,0.37916338228372054,0.313888437268088,0.26220437708861827,0.7846950803399715,0.94179229480737,0.3691027478383183,0.7060623124183358,1.0,8.0,6.0
mnistm,upgd,72,0.3927508333333333,0.1138335,0.4281680261109163,0.008584999999999999,0.917609,1.0,0.561398048122769,0.8134738844210037,0.6874359662718862,0.6940435265405702,0.4031538867175383,0.3469430485762144,0.358828860402779,0.8538552360689668,7.0,2.0,7.0
mnistm,SIG,63,0.0025835714285714286,0.001256,0.004776225324000336,0.000977,0.001815,0.032663,0.5781520898269076,0.827323493336819,0.7027377915818632,0.7128553870300628,0.02789299229835239,0.0020938023450586,0.005087309201441583,0.062414061593604166,8.0,1.0,8.0
tiny_imagenet,WaNet,72,0.7250977361111111,0.7537685000000001,0.2676876858101511,0.542714,1.0,1.0,0.39104699877908417,0.8053977405953905,0.5982223696872373,0.651175742642677,0.6212390800747998,0.6353303190153228,0.5985325259406796,0.788109301701963,4.0,3.0,1.0
tiny_imagenet,blend,63,0.7125469365079364,0.904523,0.3695788714828163,0.5356785000000001,0.9854275,1.0,0.33942383937249115,0.7352412569174482,0.5373325481449697,0.5233450112864376,0.7502960490903219,0.9575483546847524,0.5076486953030516,0.7187678295425656,5.0,5.0,2.0
tiny_imagenet,adaptive_blend,60,0.6021272333333333,0.7331655,0.3290420396219739,0.32261325,0.8758795,0.973869,0.36055579340007926,0.7623094705874173,0.5614326319937482,0.5662619188815586,0.6355103407853974,0.7805827681487063,0.4868572519941595,0.7808420954603418,6.0,4.0,3.0
