dataset,arch,attack_type,n_points,transfer_mean,stealth_auc_mean,stealth_tpr_mean,stealth_mean_mean,asr_mean,tradeoff_hmean_mean
cifar10,mobilenet,upgd,24,0.7195376666666666,0.34787334673384024,0.6037326989336969,0.4758030228337686,0.8253973770795682,0.5343954404094519
cifar10,mobilenet,belt,18,0.7763108333333333,0.2192283312798299,0.5275459712316748,0.3733871512557523,0.9302330969924463,0.49105132818652275
cifar10,mobilenet,SIG,21,0.39854171428571433,0.47044881249470666,0.7821251600705856,0.6262869862826461,0.5544676371869477,0.41706163125241846
cifar10,mobilenet,blend,21,0.6096800952380952,0.32082401537719546,0.6315047102724877,0.47616436282484154,0.7067188337868165,0.40951246944229763
cifar10,mobilenet,adaptive_blend,21,0.4498660476190476,0.4344623909827363,0.6833039924689601,0.5588831917258482,0.4775873368949971,0.38420331399861124
cifar10,mobilenet,adaptive_patch,15,0.6118957333333334,0.3653593401789326,0.4722198529624673,0.4187895965707,0.49411928263589605,0.3805653992889409
cifar10,mobilenet,WaNet,24,0.12656900000000001,0.4116223206052437,0.6853324447712493,0.5484773826882465,0.5948375735668937,0.15589723889646737
cifar10,mobilenet,basic,27,0.8806712592592592,0.09007067711476553,0.12643498182711888,0.10825282947094221,0.8727312047206389,0.09847808630384004
cifar10,resnet18,blend,21,0.6934002857142857,0.37769385750086065,0.7188089340978631,0.5482513957993619,0.7716827868364085,0.520066046779958
cifar10,resnet18,SIG,21,0.5696057142857143,0.4358480615300702,0.7492355327240281,0.5925417971270492,0.664018589501698,0.49735533144196703
cifar10,resnet18,upgd,24,0.8421875833333333,0.2461082471644518,0.5103447434148327,0.3782264952896422,0.8846447935492839,0.49247548846186756
cifar10,resnet18,adaptive_blend,21,0.5146131428571428,0.41281243324013445,0.7690579054590633,0.5909351693495989,0.5845762745526405,0.4585014229202151
cifar10,resnet18,belt,18,0.5809635,0.19343746244772964,0.44675456781119266,0.3200960151294611,0.95823871974296,0.40297257666453834
cifar10,resnet18,adaptive_patch,15,0.36943739999999997,0.3406215812006846,0.6015081006880426,0.4710648409443637,0.3175031280411511,0.3746611193250713
cifar10,resnet18,WaNet,24,0.2528905416666667,0.3888269742422321,0.7288825671140836,0.5588547706781578,0.7801855971082997,0.27724128497937955
cifar10,resnet18,basic,27,0.8941261111111111,0.08448807628534295,0.22061581494273202,0.15255194561403748,0.9674117326001102,0.24224314124461727
cifar10,vgg,upgd,24,0.77112625,0.36413291860146785,0.6023100896647284,0.4832215041330981,0.8222114092404653,0.56937118851453
cifar10,vgg,adaptive_patch,15,0.6504999333333333,0.3915611955994587,0.5719941707082797,0.4817776831538692,0.429463830576023,0.5272485934442263
cifar10,vgg,blend,21,0.639323,0.39506464417448134,0.6419956515601228,0.5185301478673021,0.7142393729353274,0.48989870966021815
cifar10,vgg,adaptive_blend,21,0.488638380952381,0.43113477615844015,0.7100624161414858,0.570598596149963,0.5053060846193057,0.4592782878288806
cifar10,vgg,belt,18,0.5620399444444444,0.27432501942462256,0.5148163603153819,0.3945706898700022,0.8651466703739747,0.43375515394471686
cifar10,vgg,SIG,21,0.4633111904761905,0.45707184853583865,0.6992965239650752,0.5781841862504569,0.5908455972407035,0.43079348922048344
cifar10,vgg,WaNet,24,0.20569666666666667,0.44436355182362747,0.6857030600037625,0.5650333059136949,0.6101475972009824,0.22393172880453038
cifar10,vgg,basic,27,0.9530903333333334,0.07902105790357467,0.15274897684950658,0.11588501737654064,0.9616242128406732,0.1800545922815377
mnistm,mobilenet,belt,18,0.8455161111111111,0.49949248555595877,0.7859832968204754,0.6427378911882171,0.8488662448042682,0.6833495288182124
mnistm,mobilenet,blend,21,0.8332602380952381,0.4309812485075206,0.7092238111941065,0.5701025298508136,0.7573914546276355,0.5917239277270573
mnistm,mobilenet,upgd,24,0.6448853333333333,0.5440651134051872,0.8874949443271803,0.7157800288661837,0.40750628140703515,0.5827203341508745
mnistm,mobilenet,adaptive_blend,21,0.5451662857142857,0.5524290062136634,0.7986522359980661,0.6755406211058648,0.472036106458217,0.503201506969389
mnistm,mobilenet,adaptive_patch,15,0.351219,0.5636221604423114,0.7272782387511488,0.6454501995967301,0.26959798994974876,0.4200097489981977
mnistm,mobilenet,basic,27,0.7872438518518519,0.2665416035166981,0.40312119190066326,0.3348313977086807,0.7322000951258348,0.34025019158287884
mnistm,mobilenet,WaNet,24,0.4075702083333333,0.5522173428161677,0.7720385490621197,0.6621279459391437,0.4021031081332589,0.3302769991435906
mnistm,mobilenet,SIG,21,0.0035894761904761907,0.5812747093757608,0.9011004083305012,0.7411875588531309,0.0322379091223312,0.007015891553672344
mnistm,resnet18,belt,18,0.7896038888888889,0.44146997145002914,0.7590907879604041,0.6002803797052166,0.8281686208821887,0.6056978449837123
mnistm,resnet18,WaNet,24,0.9518425416666667,0.3744473111374416,0.5354773788542196,0.45496234499583066,0.6278150009305788,0.6023830874043391
mnistm,resnet18,adaptive_blend,21,0.7541941904761904,0.4548229514405411,0.7402541057607905,0.5975385286006658,0.6538512669165935,0.5684588371073813
mnistm,resnet18,adaptive_patch,15,0.5979062666666667,0.43248220999587556,0.578001879060404,0.5052420445281398,0.4014889261120417,0.5355921717894369
mnistm,resnet18,blend,21,0.8874265238095239,0.34443008707818973,0.5741204014952047,0.45927524428669725,0.7995799101326739,0.5295416055046528
mnistm,resnet18,basic,27,0.9632214074074074,0.18954246228906887,0.2970982388016076,0.24332035054533824,0.8966592220361065,0.3627739396852529
mnistm,resnet18,upgd,24,0.33640425,0.59760232092731,0.8387599975110985,0.7181811592192043,0.460607435324772,0.3146043648007904
mnistm,resnet18,SIG,21,0.0030045714285714285,0.5855467035828509,0.8241576778956295,0.7048521907392402,0.02780436574406418,0.005937587638690097
mnistm,vgg,WaNet,24,0.9884258333333333,0.4323175906842802,0.5665215260500446,0.49941955836716234,0.6802007723804206,0.6607358502552841
mnistm,vgg,adaptive_blend,21,0.5759484285714286,0.5325762058494694,0.7457980643939727,0.639187135121721,0.4975804950679322,0.5230045844080456
mnistm,vgg,adaptive_patch,15,0.49924626666666666,0.5084852094013143,0.6474771126507838,0.5779811610260491,0.2997487437185929,0.5174970892453952
mnistm,vgg,blend,21,0.8190090952380952,0.3787581970726819,0.5734210320263383,0.4760896145495101,0.746410624551328,0.5038501553689595
mnistm,vgg,belt,18,0.6045349444444444,0.4313399591292919,0.7450823599825325,0.5882111595559123,0.6314597679756808,0.4575170645718013
mnistm,vgg,basic,27,0.8373347777777779,0.28975641095159965,0.43727071614889074,0.36351356355024517,0.725225923857973,0.40428411224682315
mnistm,vgg,upgd,24,0.19696291666666665,0.5425267100358094,0.7141667114247318,0.6283467107302706,0.3413479434208077,0.17916188225667218
mnistm,vgg,SIG,21,0.0011566666666666665,0.5676348565221112,0.7567123937843261,0.6621736251532186,0.02363670202866179,0.0023084484119623113
tiny_imagenet,mobilenet,WaNet,24,0.7312184166666666,0.3962508466990702,0.8097529969494229,0.6030019218242465,0.6430388093443858,0.6141306897806066
tiny_imagenet,mobilenet,blend,21,0.7789662857142856,0.34152964681683934,0.7114277477995484,0.526478697308194,0.7517015346706378,0.5364875746605036
tiny_imagenet,mobilenet,adaptive_blend,20,0.68090445,0.3645435214907069,0.7586234779652417,0.5615834997279743,0.6319078121075107,0.5319272622224293
tiny_imagenet,mobilenet,upgd,16,0.4251570625,0.5132308754580439,0.9132978743291496,0.7132643748935967,0.2926007912584777,0.46012574233325154
tiny_imagenet,mobilenet,SIG,14,0.38338114285714286,0.5211002144833387,0.9432794253514716,0.7321898199174051,0.305334266336527,0.41313753689397054
tiny_imagenet,mobilenet,belt,18,0.9434392222222221,0.1613332626046833,0.3536144091326392,0.25747383586866124,0.9389112171704485,0.3561981410777061
tiny_imagenet,mobilenet,adaptive_patch,15,0.8777555333333333,0.10102908495185722,0.23286906679257577,0.1669490758722165,0.8373607971196517,0.26606165922241587
tiny_imagenet,mobilenet,basic,27,0.9478874814814815,0.08474002738757118,0.22803819263091357,0.15638911000924235,0.9213486282062017,0.23319688845737574
tiny_imagenet,resnet18,WaNet,24,0.8018843750000001,0.3598194033587015,0.7934612106104635,0.5766403069845825,0.7014987858996902,0.6281924061856285
tiny_imagenet,resnet18,upgd,16,0.627324125,0.48266551027802296,0.8919914333332929,0.6873284718056579,0.5150244913338357,0.5818736655773942
tiny_imagenet,resnet18,blend,21,0.7921751428571427,0.34780944151201765,0.7827135445684686,0.5652614930402431,0.7609418547625028,0.5764916167547572
tiny_imagenet,resnet18,adaptive_blend,20,0.74886935,0.3544838414354766,0.7821246486070195,0.568304245021248,0.7061793519216277,0.5697732899272083
tiny_imagenet,resnet18,SIG,14,0.6212131428571429,0.4748062275583515,0.8838013168487799,0.6793037722035657,0.5580166505185344,0.5622422980506536
