attack_type,dataset,n_points,transfer_mean,transfer_median,transfer_std,stealth_auc_mean,stealth_tpr_mean,stealth_mean_mean,stealth_mean_std,asr_mean,tradeoff_hmean_mean,rank_transfer_mean,rank_stealth_mean,rank_tradeoff_mean
SIG,cifar10,63,0.477152873015873,0.442812,0.3145585002842049,0.4544562408535385,0.743552405586563,0.5990043232200508,0.09189363588209092,0.6031106079764497,0.448403483971623,7.0,1.0,3.0
SIG,mnistm,63,0.0025835714285714286,0.001256,0.004776225324000336,0.5781520898269076,0.827323493336819,0.7027377915818632,0.04351148018318362,0.02789299229835239,0.005087309201441583,8.0,1.0,8.0
SIG,tiny_imagenet,42,0.2840153095238095,0.170854,0.31927392513719566,0.5057614128142384,0.8993501437006829,0.7025557782574606,0.0482680379659352,0.41588019282066,0.3074442393769279,8.0,1.0,7.0
WaNet,cifar10,72,0.19505206944444445,0.0564065,0.22994985128233889,0.41493761555703446,0.6999726906296985,0.5574551530933665,0.08763598648533918,0.6617235892920585,0.21902341756012578,8.0,3.0,7.0
WaNet,mnistm,72,0.7826128611111112,0.998883,0.37217577845623107,0.4529940815459632,0.624679151322128,0.5388366164340456,0.13485845249324707,0.5700396271480861,0.5311319789344046,3.0,6.0,4.0
WaNet,tiny_imagenet,72,0.7250977361111111,0.7537685000000001,0.2676876858101511,0.39104699877908417,0.8053977405953905,0.5982223696872373,0.13485468788740976,0.6212390800747998,0.5985325259406796,4.0,3.0,1.0
adaptive_blend,cifar10,63,0.4843725238095238,0.558438,0.3076157585016997,0.42613653346043695,0.7208081046898364,0.5734723190751366,0.1068182756450941,0.5224898986889811,0.433994341582569,6.0,2.0,5.0
adaptive_blend,mnistm,63,0.6251029682539683,0.776661,0.3669774754647523,0.5132760545012247,0.7615681353842764,0.6374220949427506,0.0857862451392793,0.5411559561475809,0.5315549761616054,5.0,3.0,3.0
adaptive_blend,tiny_imagenet,60,0.6021272333333333,0.7331655,0.3290420396219739,0.36055579340007926,0.7623094705874173,0.5614326319937482,0.1167199321735143,0.6355103407853974,0.4868572519941595,6.0,4.0,3.0
adaptive_patch,cifar10,45,0.5439443555555555,0.499375,0.26487777036520715,0.3658473723263586,0.5485740414529299,0.4572107068896442,0.14690394377754995,0.4136954137510233,0.4274917040194128,5.0,5.0,6.0
adaptive_patch,mnistm,45,0.48279051111111115,0.472641,0.1943567559030677,0.5015298599465005,0.6509190768207789,0.5762244683836397,0.09506175730896671,0.32361188659346113,0.49103300334434324,6.0,5.0,5.0
adaptive_patch,tiny_imagenet,45,0.7773311333333333,0.784925,0.13576019013262117,0.12096957652950348,0.3064540620905009,0.2137118193100022,0.08910161678651587,0.7541572469228838,0.3164299169797603,3.0,7.0,6.0
basic,cifar10,81,0.9092959012345679,0.998594,0.21925302704162403,0.08452660376789438,0.1665999245397858,0.12556326415384012,0.12460723897372274,0.9339223833871408,0.17359193994333166,1.0,8.0,8.0
basic,mnistm,81,0.862600012345679,1.0,0.3305381463910971,0.24861349225245555,0.37916338228372054,0.313888437268088,0.14067630834044967,0.7846950803399715,0.3691027478383183,1.0,8.0,6.0
basic,tiny_imagenet,81,0.814728012345679,0.969849,0.28823282950093027,0.11145059902505158,0.25554397741100326,0.18349728821802744,0.13375344075053902,0.8246640679027852,0.22129865094716625,2.0,8.0,8.0
belt,cifar10,54,0.639771425925926,0.6521095,0.15840781753729322,0.22899693771739404,0.4963722997860831,0.3626846187517386,0.09226674799886256,0.9178728290364603,0.4425930195985927,4.0,7.0,4.0
belt,mnistm,54,0.7465516481481481,0.994696,0.3749977975841316,0.4574341387117599,0.763385481587804,0.6104098101497819,0.0974369821537516,0.7694982112207126,0.5821881461245754,4.0,4.0,1.0
belt,tiny_imagenet,54,0.8866555740740741,0.976884,0.24399836183718582,0.1888501243116557,0.4258594968701821,0.3073548105909189,0.16183874442275922,0.8932987244969159,0.38850603535040945,1.0,6.0,4.0
blend,cifar10,63,0.6474677936507935,0.834844,0.3526086739602947,0.3645275056841792,0.6641030986434913,0.5143153021638353,0.12073815811965569,0.7308803311861841,0.47315907529415796,3.0,4.0,2.0
blend,mnistm,63,0.8465652857142857,0.999721,0.3418097281948347,0.3847231775527974,0.6189217482385498,0.5018224628956736,0.13651633434098803,0.7677939964372126,0.5417052295335565,2.0,7.0,2.0
blend,tiny_imagenet,63,0.7125469365079364,0.904523,0.3695788714828163,0.33942383937249115,0.7352412569174482,0.5373325481449697,0.11677959294496981,0.7502960490903219,0.5076486953030516,5.0,5.0,2.0
upgd,cifar10,72,0.7776171666666667,0.832578,0.1955832433057597,0.3193715041665866,0.5721291773377527,0.4457503407521696,0.1226302647326697,0.8440845266231058,0.5320807057952831,2.0,6.0,1.0
upgd,mnistm,72,0.3927508333333333,0.1138335,0.4281680261109163,0.561398048122769,0.8134738844210037,0.6874359662718862,0.06389597568757373,0.4031538867175383,0.358828860402779,7.0,2.0,7.0
upgd,tiny_imagenet,48,0.36273029166666665,0.2507535,0.3515019893134566,0.4995012824266675,0.8983441083121084,0.698922695369388,0.042914023545751634,0.40862063551871386,0.3751142147655335,7.0,2.0,5.0
