dataset,defense,attack_type,n_points,tpr_mean,auc_mean,transfer_mean
cifar10,IBD_PSC,basic,81,0.9250231481481481,0.9183296133294754,0.9092959012345679
cifar10,IBD_PSC,belt,54,0.7491458333333334,0.8512843288483796,0.639771425925926
cifar10,IBD_PSC,WaNet,72,0.5156944444444445,0.6802179952256944,0.19505206944444445
cifar10,IBD_PSC,blend,63,0.4691805555555556,0.6799381401289682,0.6474677936507935
cifar10,IBD_PSC,SIG,63,0.3746706349206349,0.6075058211805555,0.477152873015873
cifar10,IBD_PSC,upgd,72,0.373890625,0.5842834622395833,0.7776171666666667
cifar10,IBD_PSC,adaptive_blend,63,0.3462420634920635,0.5588408444940477,0.4843725238095238
cifar10,IBD_PSC,adaptive_patch,45,0.2737861111111111,0.4357366263888889,0.5439443555555555
cifar10,SCaLe-Up,basic,81,0.793581783322338,0.8610371913134531,0.9092959012345679
cifar10,SCaLe-Up,upgd,72,0.7065544712045448,0.7945553189456326,0.7776171666666667
cifar10,SCaLe-Up,belt,54,0.6929413564112231,0.7944977627299608,0.639771425925926
cifar10,SCaLe-Up,blend,63,0.5776491133625431,0.7334321331412594,0.6474677936507935
cifar10,SCaLe-Up,WaNet,72,0.4891491680367619,0.6781486136182163,0.19505206944444445
cifar10,SCaLe-Up,SIG,63,0.48267331416168435,0.668796069571957,0.477152873015873
cifar10,SCaLe-Up,adaptive_blend,63,0.45936480346287684,0.6465851772941648,0.4843725238095238
cifar10,SCaLe-Up,adaptive_patch,45,0.4431149452993915,0.6276572454167875,0.5439443555555555
cifar10,STRIP,basic,81,0.6262484567901235,0.8866151444830247,0.9092959012345679
cifar10,STRIP,upgd,72,0.31059375,0.6562889156901042,0.7776171666666667
cifar10,STRIP,belt,54,0.1517939814814815,0.6574834098668981,0.639771425925926
cifar10,STRIP,adaptive_patch,45,0.15169166666666667,0.5016559194444444,0.5439443555555555
cifar10,STRIP,blend,63,0.14537698412698413,0.596366150421627,0.6474677936507935
cifar10,STRIP,adaptive_blend,63,0.11673214285714285,0.5209009237351191,0.4843725238095238
cifar10,STRIP,SIG,63,0.059930555555555556,0.41709612003968255,0.477152873015873
cifar10,STRIP,WaNet,72,0.03056423611111111,0.4557897223307292,0.19505206944444445
cifar10,SentiNet,basic,81,0.9887469135802469,0.9959116358024691,0.9092959012345679
cifar10,SentiNet,adaptive_patch,45,0.9371111111111111,0.9715607194444444,0.5439443555555555
cifar10,SentiNet,belt,54,0.42062962962962963,0.7807467476851853,0.639771425925926
cifar10,SentiNet,upgd,72,0.3204444444444444,0.6873862864583333,0.7776171666666667
cifar10,SentiNet,adaptive_blend,63,0.19442857142857142,0.5691269206349207,0.4843725238095238
cifar10,SentiNet,WaNet,72,0.16470138888888888,0.5260932065972223,0.19505206944444445
cifar10,SentiNet,blend,63,0.15138095238095237,0.5321535535714286,0.6474677936507935
cifar10,SentiNet,SIG,63,0.10851587301587301,0.48877702579365084,0.477152873015873
mnistm,IBD_PSC,basic,81,0.8447422839506173,0.7781071635802469,0.862600012345679
mnistm,IBD_PSC,blend,63,0.7267599206349206,0.6390640498511905,0.8465652857142857
mnistm,IBD_PSC,WaNet,72,0.5805173611111111,0.5313269914279514,0.7826128611111112
mnistm,IBD_PSC,belt,54,0.5755694444444445,0.6819040824652777,0.7465516481481481
mnistm,IBD_PSC,SIG,63,0.48851984126984127,0.4894533590029762,0.0025835714285714286
mnistm,IBD_PSC,adaptive_blend,63,0.4604166666666667,0.48720690104166664,0.6251029682539683
mnistm,IBD_PSC,adaptive_patch,45,0.4568611111111111,0.46092368298611114,0.48279051111111115
mnistm,IBD_PSC,upgd,72,0.41503819444444445,0.4480825860460069,0.3927508333333333
mnistm,SCaLe-Up,WaNet,72,0.6111479780448215,0.6755809234906264,0.7826128611111112
mnistm,SCaLe-Up,blend,63,0.30414435625214986,0.6017531975269055,0.8465652857142857
mnistm,SCaLe-Up,basic,81,0.19151159432190795,0.47322285612520854,0.862600012345679
mnistm,SCaLe-Up,upgd,72,0.18756974009376343,0.43247125434052164,0.3927508333333333
mnistm,SCaLe-Up,adaptive_blend,63,0.180866347351783,0.4750047872034347,0.6251029682539683
mnistm,SCaLe-Up,belt,54,0.11391872179693215,0.3538135905522658,0.7465516481481481
mnistm,SCaLe-Up,SIG,63,0.06473182030351791,0.3369180935693537,0.0025835714285714286
mnistm,SCaLe-Up,adaptive_patch,45,0.05835702605021764,0.30931006889455365,0.48279051111111115
mnistm,STRIP,basic,81,0.5272222222222221,0.8000949217785494,0.862600012345679
mnistm,STRIP,blend,63,0.37890873015873017,0.742449945188492,0.8465652857142857
mnistm,STRIP,adaptive_blend,63,0.23653968253968252,0.5477258080357142,0.6251029682539683
mnistm,STRIP,WaNet,72,0.23188888888888892,0.5640893595920139,0.7826128611111112
mnistm,STRIP,belt,54,0.12301620370370371,0.6398517466724537,0.7465516481481481
mnistm,STRIP,adaptive_patch,45,0.08075,0.36110533055555555,0.48279051111111115
mnistm,STRIP,upgd,72,0.07354513888888889,0.4580256771918403,0.3927508333333333
mnistm,STRIP,SIG,63,0.050636904761904765,0.46741360478670635,0.0025835714285714286
mnistm,SentiNet,basic,81,0.9198703703703704,0.9541210895061729,0.862600012345679
mnistm,SentiNet,adaptive_patch,45,0.8003555555555555,0.8625414777777778,0.48279051111111115
mnistm,SentiNet,belt,54,0.1339537037037037,0.494694025462963,0.7465516481481481
mnistm,SentiNet,blend,63,0.11449999999999999,0.4778400972222222,0.8465652857142857
mnistm,SentiNet,SIG,63,0.08681746031746032,0.3936065833333333,0.0025835714285714286
mnistm,SentiNet,WaNet,72,0.07772916666666668,0.4170263993055556,0.7826128611111112
mnistm,SentiNet,adaptive_blend,63,0.0759047619047619,0.43695828571428574,0.6251029682539683
mnistm,SentiNet,upgd,72,0.0699513888888889,0.41582828993055554,0.3927508333333333
tiny_imagenet,IBD_PSC,basic,81,0.8149382716049384,0.8721246791087963,0.8817233703703704
tiny_imagenet,IBD_PSC,belt,54,0.7962037037037036,0.9008570740740741,0.9161081851851852
tiny_imagenet,IBD_PSC,adaptive_patch,45,0.47696666666666665,0.7823596453125,0.8492574222222221
tiny_imagenet,IBD_PSC,WaNet,72,0.4491440972222222,0.7154654978298611,0.7200027083333334
tiny_imagenet,IBD_PSC,blend,63,0.4389781746031746,0.789613578125,0.7768365555555555
tiny_imagenet,IBD_PSC,adaptive_blend,60,0.3662458333333333,0.7036239079427083,0.6881490833333334
tiny_imagenet,IBD_PSC,SIG,42,0.20867857142857144,0.48049277362351195,0.48718588095238097
tiny_imagenet,IBD_PSC,upgd,48,0.15820572916666667,0.47375067724609377,0.5213986875
tiny_imagenet,SCaLe-Up,adaptive_patch,45,0.5985059738602185,0.8204147817292082,0.8492574222222221
tiny_imagenet,SCaLe-Up,basic,81,0.399634275541172,0.7664945587609047,0.8817233703703704
tiny_imagenet,SCaLe-Up,belt,54,0.3804048625599958,0.7247512656654552,0.9161081851851852
tiny_imagenet,SCaLe-Up,WaNet,72,0.1289958431739937,0.5882697523880036,0.7200027083333334
tiny_imagenet,SCaLe-Up,blend,63,0.11489409931433398,0.6013249584822574,0.7768365555555555
tiny_imagenet,SCaLe-Up,adaptive_blend,60,0.07959128431699779,0.574667493196558,0.6881490833333334
tiny_imagenet,SCaLe-Up,SIG,42,0.0532065680544113,0.5208299248219157,0.48718588095238097
tiny_imagenet,SCaLe-Up,upgd,48,0.049683462584899675,0.489559953138382,0.5213986875
tiny_imagenet,STRIP,basic,81,0.7632515432098765,0.9166282394868827,0.8817233703703704
tiny_imagenet,STRIP,adaptive_patch,45,0.6987111111111111,0.914290450173611,0.8492574222222221
tiny_imagenet,STRIP,belt,54,0.41006944444444443,0.7743319398148147,0.9161081851851852
tiny_imagenet,STRIP,blend,63,0.406265873015873,0.7618170324900794,0.7768365555555555
tiny_imagenet,STRIP,adaptive_blend,60,0.3796666666666667,0.7544769252604167,0.6881490833333334
tiny_imagenet,STRIP,upgd,48,0.11307812499999999,0.5499908388671875,0.5213986875
tiny_imagenet,STRIP,SIG,42,0.08725,0.5273521175595238,0.48718588095238097
tiny_imagenet,STRIP,WaNet,72,0.06638020833333333,0.6050435081380209,0.7200027083333334
tiny_imagenet,SentiNet,adaptive_patch,45,1.0,0.9990568166666667,0.8492574222222221
tiny_imagenet,SentiNet,basic,81,1.0,0.9989501265432099,0.8817233703703704
tiny_imagenet,SentiNet,belt,54,0.7140277777777777,0.8461744236111111,0.9161081851851852
tiny_imagenet,SentiNet,WaNet,72,0.1338888888888889,0.5270332465277777,0.7200027083333334
tiny_imagenet,SentiNet,adaptive_blend,60,0.12525833333333333,0.5250085,0.6881490833333334
tiny_imagenet,SentiNet,blend,63,0.0988968253968254,0.48954907341269843,0.7768365555555555
tiny_imagenet,SentiNet,upgd,48,0.08565625,0.48869340104166664,0.5213986875
tiny_imagenet,SentiNet,SIG,42,0.05346428571428572,0.4482795327380953,0.48718588095238097
