dataset,defense,best_detected_attack,best_tpr_mean,weakest_attack,weakest_tpr_mean,tpr_gap
cifar10,SentiNet,basic,0.9887469135802469,SIG,0.10851587301587301,0.8802310405643738
cifar10,IBD_PSC,basic,0.9250231481481481,adaptive_patch,0.2737861111111111,0.6512370370370371
cifar10,STRIP,basic,0.6262484567901235,WaNet,0.03056423611111111,0.5956842206790124
cifar10,SCaLe-Up,basic,0.793581783322338,adaptive_patch,0.4431149452993915,0.3504668380229465
mnistm,SentiNet,basic,0.9198703703703704,upgd,0.0699513888888889,0.8499189814814816
mnistm,SCaLe-Up,WaNet,0.6111479780448215,adaptive_patch,0.05835702605021764,0.5527909519946038
mnistm,STRIP,basic,0.5272222222222221,SIG,0.050636904761904765,0.4765853174603174
mnistm,IBD_PSC,basic,0.8447422839506173,upgd,0.41503819444444445,0.4297040895061729
tiny_imagenet,SentiNet,adaptive_patch,1.0,SIG,0.05346428571428572,0.9465357142857143
tiny_imagenet,STRIP,basic,0.7632515432098765,WaNet,0.06638020833333333,0.6968713348765432
tiny_imagenet,IBD_PSC,basic,0.8149382716049384,upgd,0.15820572916666667,0.6567325424382717
tiny_imagenet,SCaLe-Up,adaptive_patch,0.5985059738602185,upgd,0.049683462584899675,0.5488225112753189
