dataset,defense,attack_family,n_points,tpr_mean,auc_mean
cifar10,IBD_PSC,localized_patch,180,0.7094506944444444,0.77756778125
cifar10,IBD_PSC,global_spatial,72,0.5156944444444445,0.6802179952256944
cifar10,IBD_PSC,blended_trigger,126,0.4077113095238095,0.6193894923115079
cifar10,IBD_PSC,global_signal,63,0.3746706349206349,0.6075058211805555
cifar10,IBD_PSC,optimized_perturbation,72,0.373890625,0.5842834622395833
cifar10,SCaLe-Up,optimized_perturbation,72,0.7065544712045448,0.7945553189456326
cifar10,SCaLe-Up,localized_patch,180,0.675772945743267,0.782730376264239
cifar10,SCaLe-Up,blended_trigger,126,0.51850695841271,0.690008655217712
cifar10,SCaLe-Up,global_spatial,72,0.4891491680367619,0.6781486136182163
cifar10,SCaLe-Up,global_signal,63,0.48267331416168435,0.668796069571957
cifar10,STRIP,localized_patch,180,0.3652729166666667,0.7216358178385417
cifar10,STRIP,optimized_perturbation,72,0.31059375,0.6562889156901042
cifar10,STRIP,blended_trigger,126,0.1310545634920635,0.558633537078373
cifar10,STRIP,global_signal,63,0.059930555555555556,0.41709612003968255
cifar10,STRIP,global_spatial,72,0.03056423611111111,0.4557897223307292
cifar10,SentiNet,localized_patch,180,0.8054027777777778,0.9252744402777777
cifar10,SentiNet,optimized_perturbation,72,0.3204444444444444,0.6873862864583333
cifar10,SentiNet,blended_trigger,126,0.1729047619047619,0.5506402371031746
cifar10,SentiNet,global_spatial,72,0.16470138888888888,0.5260932065972223
cifar10,SentiNet,global_signal,63,0.10851587301587301,0.48877702579365084
mnistm,IBD_PSC,localized_patch,180,0.6670201388888889,0.6699503690972223
mnistm,IBD_PSC,blended_trigger,126,0.5935882936507937,0.5631354754464286
mnistm,IBD_PSC,global_spatial,72,0.5805173611111111,0.5313269914279514
mnistm,IBD_PSC,global_signal,63,0.48851984126984127,0.4894533590029762
mnistm,IBD_PSC,optimized_perturbation,72,0.41503819444444445,0.4480825860460069
mnistm,SCaLe-Up,global_spatial,72,0.6111479780448215,0.6755809234906264
mnistm,SCaLe-Up,blended_trigger,126,0.24250535180196645,0.5383789923651701
mnistm,SCaLe-Up,optimized_perturbation,72,0.18756974009376343,0.43247125434052164
mnistm,SCaLe-Up,localized_patch,180,0.13494509049649264,0.39642187964566195
mnistm,SCaLe-Up,global_signal,63,0.06473182030351791,0.3369180935693537
mnistm,STRIP,blended_trigger,126,0.30772420634920633,0.6450878766121032
mnistm,STRIP,localized_patch,180,0.2943423611111111,0.6422745714409722
mnistm,STRIP,global_spatial,72,0.23188888888888892,0.5640893595920139
mnistm,STRIP,optimized_perturbation,72,0.07354513888888889,0.4580256771918403
mnistm,STRIP,global_signal,63,0.050636904761904765,0.46741360478670635
mnistm,SentiNet,localized_patch,180,0.6542166666666667,0.7933980673611111
mnistm,SentiNet,blended_trigger,126,0.09520238095238095,0.457399191468254
mnistm,SentiNet,global_signal,63,0.08681746031746032,0.3936065833333333
mnistm,SentiNet,global_spatial,72,0.07772916666666668,0.4170263993055556
mnistm,SentiNet,optimized_perturbation,72,0.0699513888888889,0.41582828993055554
tiny_imagenet,IBD_PSC,localized_patch,180,0.724825,0.8581953164496529
tiny_imagenet,IBD_PSC,global_spatial,72,0.4491440972222222,0.7154654978298611
tiny_imagenet,IBD_PSC,blended_trigger,123,0.4034989837398374,0.7476673975482724
tiny_imagenet,IBD_PSC,global_signal,42,0.20867857142857144,0.48049277362351195
tiny_imagenet,IBD_PSC,optimized_perturbation,48,0.15820572916666667,0.47375067724609377
tiny_imagenet,SCaLe-Up,localized_patch,180,0.44382803834369877,0.7675395793541699
tiny_imagenet,SCaLe-Up,global_spatial,72,0.1289958431739937,0.5882697523880036
tiny_imagenet,SCaLe-Up,blended_trigger,123,0.09767321394977975,0.5883213168794772
tiny_imagenet,SCaLe-Up,global_signal,42,0.0532065680544113,0.5208299248219157
tiny_imagenet,SCaLe-Up,optimized_perturbation,48,0.049683462584899675,0.489559953138382
tiny_imagenet,STRIP,localized_patch,180,0.6414236111111111,0.8735726736979166
tiny_imagenet,STRIP,blended_trigger,123,0.39329065040650407,0.7582364923780488
tiny_imagenet,STRIP,optimized_perturbation,48,0.11307812499999999,0.5499908388671875
tiny_imagenet,STRIP,global_signal,42,0.08725,0.5273521175595238
tiny_imagenet,STRIP,global_spatial,72,0.06638020833333333,0.6050435081380209
tiny_imagenet,SentiNet,localized_patch,179,0.9137290502793296,0.952908342877095
tiny_imagenet,SentiNet,global_spatial,72,0.1338888888888889,0.5270332465277777
tiny_imagenet,SentiNet,blended_trigger,123,0.11175609756097561,0.5068463546747968
tiny_imagenet,SentiNet,optimized_perturbation,48,0.08565625,0.48869340104166664
tiny_imagenet,SentiNet,global_signal,42,0.05346428571428572,0.4482795327380953
