dataset,attack_type,n_points,nc_metadata_points,stealth_mean,S_stealth,S_stealth_tpr,nc_poisoned_rate,rank_stealth_mean,rank_S_stealth,rank_S_stealth_tpr,delta_rank_S_auc,delta_rank_S_tpr
cifar10,adaptive_patch,45,45,0.4572107068896442,0.411482553321654,0.5576638886229109,0.7777777777777778,5.0,1.0,5.0,4.0,0.0
cifar10,SIG,63,63,0.5990043232200508,0.39428581509090993,0.6255627468773296,0.19047619047619047,1.0,2.0,1.0,-1.0,0.0
cifar10,adaptive_blend,63,63,0.5734723190751366,0.38065459950604064,0.6163918564895601,0.23809523809523808,2.0,3.0,2.0,-1.0,0.0
cifar10,WaNet,72,72,0.5574551530933665,0.37677818794282214,0.6048062480009534,0.2777777777777778,3.0,4.0,4.0,-1.0,-1.0
cifar10,blend,63,63,0.5143153021638353,0.36663442532533985,0.6062948996927895,0.4603174603174603,4.0,5.0,3.0,-1.0,1.0
cifar10,upgd,72,72,0.4457503407521696,0.3191503624844096,0.5213565010213425,0.375,6.0,6.0,6.0,0.0,0.0
cifar10,belt,54,54,0.3626846187517386,0.26772620464742186,0.48162649430237314,0.5,7.0,7.0,7.0,0.0,0.0
cifar10,basic,81,81,0.12556326415384012,0.19620614830402364,0.26186480492153674,0.9135802469135802,8.0,8.0,8.0,0.0,0.0
mnistm,adaptive_patch,45,45,0.5762244683836397,0.5002984225300621,0.6198097960294848,0.5777777777777777,5.0,1.0,5.0,4.0,0.0
mnistm,upgd,72,72,0.6874359662718862,0.4904525598417867,0.6921132288803745,0.2361111111111111,2.0,2.0,2.0,0.0,0.0
mnistm,belt,54,54,0.6104098101497819,0.48901686936594324,0.7337779436667785,0.8148148148148148,4.0,3.0,1.0,1.0,3.0
mnistm,SIG,63,63,0.7027377915818632,0.48581732636665836,0.6851544491745876,0.12698412698412698,1.0,4.0,3.0,-3.0,-2.0
mnistm,adaptive_blend,63,63,0.6374220949427506,0.4519367619989911,0.6505704267054326,0.23809523809523808,3.0,5.0,4.0,-2.0,-1.0
mnistm,WaNet,72,72,0.5388366164340456,0.38886734668508605,0.526215402506018,0.16666666666666666,6.0,6.0,7.0,0.0,-1.0
mnistm,blend,63,63,0.5018224628956736,0.3695389595012344,0.5568978160498362,0.38095238095238093,7.0,7.0,6.0,0.0,1.0
mnistm,basic,81,81,0.313888437268088,0.3156470732102116,0.4200869852352236,0.8765432098765432,8.0,8.0,8.0,0.0,0.0
tiny_imagenet,SIG,42,0,0.7025557782574606,0.4046091302513906,0.7194801149605463,,1.0,1.0,1.0,0.0,0.0
tiny_imagenet,upgd,48,0,0.698922695369388,0.399601025941334,0.7186752866496868,,2.0,2.0,2.0,0.0,0.0
tiny_imagenet,WaNet,72,0,0.5982223696872373,0.3128375990232673,0.6443181924763124,,3.0,3.0,3.0,0.0,0.0
tiny_imagenet,adaptive_blend,60,3,0.5614326319937482,0.2905609850861086,0.6119639268359791,1.0,4.0,4.0,4.0,0.0,0.0
tiny_imagenet,blend,63,2,0.5373325481449697,0.27471367467259616,0.5913676087085618,1.0,5.0,5.0,5.0,0.0,0.0
tiny_imagenet,belt,54,0,0.3073548105909189,0.15108009944932455,0.34068759749614574,,6.0,6.0,6.0,0.0,0.0
tiny_imagenet,adaptive_patch,45,1,0.2137118193100022,0.10006614431348289,0.24845373276228086,1.0,7.0,7.0,7.0,0.0,0.0
tiny_imagenet,basic,81,2,0.18349728821802744,0.08955999449146422,0.20483469720022557,1.0,8.0,8.0,8.0,0.0,0.0
