pair_id,dataset,model_norm,attack_family,poison_rate,target_label,mode,f,delta,eps,upgd_steps,upgd_steps_multiplier,folder_new,folder_baseline,stealth_tpr_avg_new,stealth_tpr_avg_baseline,stealth_tpr_avg_delta,stealth_auc_avg_new,stealth_auc_avg_baseline,stealth_auc_avg_delta,transfer_rate_new,transfer_rate_baseline,transfer_rate_delta,asr_new,asr_baseline,asr_delta,nc_max_anomaly_index_new,nc_max_anomaly_index_baseline,nc_max_anomaly_index_delta,S_stealth_new,S_stealth_baseline,S_stealth_delta,S_stealth_tpr_new,S_stealth_tpr_baseline,S_stealth_tpr_delta
cifar10|mobilenet|upgd|0.005||all-to-one|||4.0||#1,cifar10,mobilenet,upgd,0.005,,all-to-one,,,4.0,,,upgd_0.005_eps=4.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,upgd_0.005_eps=4.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,0.2941090971026965,0.8492214095744681,-0.5551123124717716,0.13723524470684012,0.4791841122835059,-0.34194886757666576,0.831406,0.216094,0.615312,0.9694147087446128,0.16349228416516057,0.8059224245794522,4.880569934844971,2.037986993789673,2.842582941055298,,,,,,
cifar10|mobilenet|upgd|0.005||all-to-one|||6.0||#1,cifar10,mobilenet,upgd,0.005,,all-to-one,,,6.0,,,upgd_0.005_eps=6.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,upgd_0.005_eps=6.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,0.3704798808012413,0.7450659967504945,-0.3745861159492532,0.16152846928349707,0.4232918241177459,-0.26176335483424884,0.978281,0.417031,0.56125,0.9855414986792715,0.49214514110941193,0.4933963575698596,11.653975486755371,2.7175629138946533,8.936412572860718,,,,,,
cifar10|mobilenet|upgd|0.005||all-to-one|||8.0||#1,cifar10,mobilenet,upgd,0.005,,all-to-one,,,8.0,,,upgd_0.005_eps=8.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,upgd_0.005_eps=8.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,0.3664798835501468,0.7666791962206225,-0.4001993126704757,0.1384756046272797,0.43069583906306597,-0.29222023443578626,0.992812,0.557656,0.435156,0.9940219658000834,0.6564715695815376,0.33755039621854577,3.4944546222686768,9.327699661254883,-5.833245038986206,,,,,,
cifar10|mobilenet|upgd|0.005||all-to-one|||10.0||#1,cifar10,mobilenet,upgd,0.005,,all-to-one,,,10.0,,,upgd_0.005_eps=10.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,upgd_0.005_eps=10.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,0.5630210140997831,0.6709281002638523,-0.10790708616406919,0.2904328842086261,0.3620062081873896,-0.07157332397876348,0.545469,0.495312,0.05015700000000001,0.6409008758515223,0.8430418462393994,-0.20214097038787704,1.8795490264892578,1.1182911396026611,0.7612578868865967,,,,,,
cifar10|mobilenet|upgd|0.005||all-to-one|||12.0||#1,cifar10,mobilenet,upgd,0.005,,all-to-one,,,12.0,,,upgd_0.005_eps=12.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,upgd_0.005_eps=12.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,0.41014950954678975,0.5031993192449048,-0.09304980969811505,0.23900893258430156,0.2853282049538819,-0.04631927236958033,0.967656,0.51375,0.4539059999999999,0.9938829417489226,0.832336994300014,0.1615459474489086,1.4484421014785767,3.879574775695801,-2.431132674217224,,,,,,
cifar10|mobilenet|upgd|0.005||all-to-one|||16.0||#1,cifar10,mobilenet,upgd,0.005,,all-to-one,,,16.0,,,upgd_0.005_eps=16.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,upgd_0.005_eps=16.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,0.52909168496445,0.5357855566237639,-0.006693871659313899,0.3041092874061324,0.3695736637736793,-0.06546437636754687,0.986875,0.905469,0.08140599999999998,0.997219518976783,0.884471013485333,0.11274850549144999,3.0816421508789062,1.4211130142211914,1.6605291366577148,,,,,,
cifar10|mobilenet|upgd|0.005||all-to-one|||20.0||#1,cifar10,mobilenet,upgd,0.005,,all-to-one,,,20.0,,,upgd_0.005_eps=20.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,upgd_0.005_eps=20.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,0.5126772575250836,0.6264558936825886,-0.11377863615750494,0.2532773414877336,0.6496597388918997,-0.39638239740416603,0.94375,0.356875,0.586875,0.9976365911302655,0.7219518976782984,0.2756846934519671,4.605473518371582,1.5479865074157715,3.0574870109558105,,,,,,
cifar10|mobilenet|upgd|0.005||all-to-one|||24.0||#1,cifar10,mobilenet,upgd,0.005,,all-to-one,,,24.0,,,upgd_0.005_eps=24.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,upgd_0.005_eps=24.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,0.6381236814162373,0.31883973631858165,0.3192839450976557,0.3880387016115464,0.16163423145017686,0.22640447016136955,0.904531,0.868594,0.035937,0.9983317113860698,0.9958292784651744,0.002502432920895359,5.527389049530029,8.795232772827148,-3.267843723297119,,,,,,
cifar10|mobilenet|upgd|0.01||all-to-one|||4.0||#1,cifar10,mobilenet,upgd,0.01,,all-to-one,,,4.0,,,upgd_0.010_eps=4.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,upgd_0.010_eps=4.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,0.4814239676141987,0.7167735849056605,-0.23534961729146175,0.1715929825283402,0.39762305454100155,-0.22603007201266134,0.959375,0.303906,0.655469,0.9830390657583762,0.2652578896149034,0.7177811761434728,2.990131139755249,2.9727883338928223,0.017342805862426758,,,,,,
cifar10|mobilenet|upgd|0.01||all-to-one|||6.0||#1,cifar10,mobilenet,upgd,0.01,,all-to-one,,,6.0,,,upgd_0.010_eps=6.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,upgd_0.010_eps=6.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,0.21314155181437533,0.651493366129994,-0.43835181431561865,0.18768618427621575,0.35201755016239455,-0.1643313658861788,0.997344,0.731406,0.265938,0.9961073265674962,0.6994300013902405,0.29667732517725576,9.564075469970703,1.4600266218185425,8.10404884815216,,,,,,
