unmatched_side,dataset,model_norm,attack_family,poison_rate,target_label,mode,folder_name
baseline_only,cifar10,mobilenet,sig,0.005,,all-to-one,SIG_0.005_delta=4_f=6_poison_seed=2333_arch=mobilenetv2_cifar10
baseline_only,cifar10,mobilenet,sig,0.005,,all-to-one,SIG_0.005_delta=12_f=6_poison_seed=2333_arch=mobilenetv2_cifar10
baseline_only,cifar10,mobilenet,sig,0.005,,all-to-one,SIG_0.005_delta=20_f=6_poison_seed=2333_arch=mobilenetv2_cifar10
baseline_only,cifar10,mobilenet,sig,0.005,,all-to-one,SIG_0.005_delta=28_f=6_poison_seed=2333_arch=mobilenetv2_cifar10
baseline_only,cifar10,mobilenet,sig,0.005,,all-to-one,SIG_0.005_delta=36_f=6_poison_seed=2333_arch=mobilenetv2_cifar10
baseline_only,cifar10,mobilenet,sig,0.005,,all-to-one,SIG_0.005_delta=44_f=6_poison_seed=2333_arch=mobilenetv2_cifar10
baseline_only,cifar10,mobilenet,sig,0.005,,all-to-one,SIG_0.005_delta=56_f=6_poison_seed=2333_arch=mobilenetv2_cifar10
baseline_only,cifar10,mobilenet,sig,0.01,,all-to-one,SIG_0.010_delta=4_f=6_poison_seed=2333_arch=mobilenetv2_cifar10
baseline_only,cifar10,mobilenet,sig,0.01,,all-to-one,SIG_0.010_delta=12_f=6_poison_seed=2333_arch=mobilenetv2_cifar10
baseline_only,cifar10,mobilenet,sig,0.01,,all-to-one,SIG_0.010_delta=20_f=6_poison_seed=2333_arch=mobilenetv2_cifar10
baseline_only,cifar10,mobilenet,sig,0.01,,all-to-one,SIG_0.010_delta=28_f=6_poison_seed=2333_arch=mobilenetv2_cifar10
baseline_only,cifar10,mobilenet,sig,0.01,,all-to-one,SIG_0.010_delta=36_f=6_poison_seed=2333_arch=mobilenetv2_cifar10
baseline_only,cifar10,mobilenet,sig,0.01,,all-to-one,SIG_0.010_delta=44_f=6_poison_seed=2333_arch=mobilenetv2_cifar10
