dataset,rank_in_dataset,arch,attack_type,poison_rate,train_param_value,test_param_type,test_param_value,transfer_rate,stealth_auc_avg,stealth_tpr_avg,stealth_mean,asr,tradeoff_hmean
cifar10,1,resnet18,adaptive_blend,0.01,0.01,test_alpha,0.01,0.044687,0.5345066143017188,0.9464189814814816,0.7404627978916002,0.0075072987626859,0.08428725610892993
cifar10,2,resnet18,SIG,0.005,4.0,test_delta,4.0,0.057813,0.5241824391816216,0.9261774193548388,0.7251799292682302,0.0043097455859863,0.10708864839933181
cifar10,3,resnet18,adaptive_blend,0.005,0.05,test_alpha,0.05,0.03,0.529721034038714,0.9184479166666668,0.7240844753526904,0.008341443069651,0.05761299952613647
cifar10,4,resnet18,SIG,0.005,12.0,test_delta,12.0,0.094062,0.5329325083668224,0.907516369047619,0.7202244387072207,0.0729876268594466,0.16639292497915908
cifar10,5,resnet18,adaptive_blend,0.01,0.05,test_alpha,0.05,0.045,0.5231277999256421,0.9138098739495798,0.7184688369376109,0.0165438620881412,0.08469526481755933
cifar10,6,resnet18,SIG,0.01,4.0,test_delta,4.0,0.040938,0.5113223095778986,0.9246354166666668,0.7179788631222828,0.0033365772278604,0.07745939015658436
cifar10,7,resnet18,adaptive_blend,0.005,0.01,test_alpha,0.01,0.037969,0.5228201911500319,0.9057329009433962,0.714276546046714,0.007368274711525,0.07210508940697277
cifar10,8,mobilenet,WaNet,0.01,0.4,test_s,0.4,0.037656,0.5424580747456835,0.8829632227891157,0.7127106487673995,0.0408730710412901,0.07153258272891191
cifar10,9,mobilenet,adaptive_patch,0.05,0.4,test_alpha,0.4,0.499375,0.6169050963152871,0.8073508240956826,0.7121279602054849,0.2384262477408591,0.587070625179978
cifar10,10,resnet18,blend,0.005,0.05,test_alpha,0.05,0.049375,0.4901945335680358,0.9321041666666668,0.7111493501173514,0.0272487140275267,0.0923389215785824
tiny_imagenet,1,resnet18,upgd,0.001,10.0,test_eps,10.0,0.057286,0.5624909656334152,0.96219089958159,0.7623409326075026,0.150087917608641,0.10656424509238642
tiny_imagenet,2,resnet18,SIG,0.001,12.0,test_delta,12.0,0.00603,0.5475425837137128,0.9604469246031746,0.7539947541584437,0.0316503391107761,0.01196431653758367
tiny_imagenet,3,resnet18,adaptive_blend,0.005,0.05,test_alpha,0.05,0.095477,0.5308787727651605,0.9759752673796792,0.7534270200724198,0.1174328058276814,0.1694772315704611
tiny_imagenet,4,mobilenet,SIG,0.005,36.0,test_delta,36.0,0.557789,0.5419201417803629,0.9644965185382296,0.7532083301592962,0.7079879427279578,0.6409339082638321
tiny_imagenet,5,vgg,upgd,0.001,24.0,test_eps,24.0,0.766834,0.58761846788942,0.9179053974402156,0.7527619326648178,0.74591811102738,0.759732809840861
tiny_imagenet,6,vgg,upgd,0.001,16.0,test_eps,16.0,0.276382,0.5732510404723969,0.9281682344972908,0.7507096374848439,0.4172318512936448,0.40401970662602693
tiny_imagenet,7,mobilenet,SIG,0.001,56.0,test_delta,56.0,0.175879,0.5350220295118149,0.965164048269581,0.7500930388906979,0.3447626224566691,0.28494513450989767
tiny_imagenet,8,mobilenet,SIG,0.005,44.0,test_delta,44.0,0.498492,0.532943994222828,0.9655641196823332,0.7492540569525806,0.6760864104496358,0.5986749487641942
tiny_imagenet,9,mobilenet,SIG,0.005,20.0,test_delta,20.0,0.248241,0.5357174503431774,0.9614814738379476,0.7485994620905625,0.4944737503139914,0.37284417343793674
tiny_imagenet,10,mobilenet,SIG,0.001,12.0,test_delta,12.0,0.00201,0.5329437712165059,0.95990625,0.746425010608253,0.0054006531022356,0.004009203872232764
mnistm,1,mobilenet,adaptive_patch,0.005,0.2,test_alpha,0.2,0.287409,0.7309434130603211,0.8928611111111111,0.8119022620857161,0.1256281407035175,0.4245349343571063
mnistm,2,mobilenet,adaptive_patch,0.005,0.3,test_alpha,0.3,0.296622,0.7234038240715117,0.888987737956488,0.8061957810139999,0.179787828029034,0.43368072055577234
mnistm,3,mobilenet,WaNet,0.01,1.4,test_s,1.4,0.078308,0.6591454085007196,0.929021286231884,0.7940833473663018,0.1444723618090452,0.14255776138378132
mnistm,4,resnet18,upgd,0.005,12.0,test_eps,12.0,0.014098,0.6373421661296912,0.934751167012448,0.7860466665710696,0.2691233947515354,0.02769920582688694
mnistm,5,mobilenet,WaNet,0.005,1.2,test_s,1.2,0.032803,0.625956019138306,0.9434920680428136,0.7847240435905598,0.045644891122278,0.06297358112789989
mnistm,6,resnet18,adaptive_blend,0.05,0.01,test_alpha,0.01,0.012284,0.6135232874176577,0.9520013586956522,0.7827623230566549,0.0128419877163595,0.024188407889140704
mnistm,7,mobilenet,adaptive_blend,0.005,0.1,test_alpha,0.1,0.28029,0.6327090845779317,0.9279188829787234,0.7803139837783275,0.1049692908989391,0.41243331131771416
mnistm,8,resnet18,upgd,0.05,12.0,test_eps,12.0,0.293691,0.6360300295699856,0.922909223358706,0.7794696264643457,0.586823003908431,0.426633643502473
mnistm,9,mobilenet,WaNet,0.01,4.0,test_s,4.0,0.29718,0.6702868923459077,0.8884905277401894,0.7793887100430485,0.4126186487995533,0.4302906720024056
mnistm,10,mobilenet,WaNet,0.01,0.6,test_s,0.6,0.005723,0.6052729390088212,0.952391369047619,0.7788321540282201,0.0058626465661641,0.011362506242214241
