dataset,rank_in_dataset,arch,attack_type,poison_rate,train_param_value,test_param_type,test_param_value,transfer_rate,stealth_auc_avg,stealth_tpr_avg,stealth_mean,asr,tradeoff_hmean
cifar10,1,vgg,SIG,0.01,56.0,test_delta,56.0,0.861563,0.5729528267842515,0.8221167979354194,0.6975348123598355,0.973029334074795,0.7709204397273245
cifar10,2,resnet18,blend,0.005,0.3,test_alpha,0.3,0.93625,0.4775230126204015,0.7967463479706088,0.6371346802955051,0.9933268455442792,0.7582600134566352
cifar10,3,resnet18,blend,0.005,0.25,test_alpha,0.25,0.929219,0.4133452502193645,0.842974718111346,0.6281599841653553,0.9863756429862366,0.7495904314375582
cifar10,4,vgg,blend,0.01,0.3,test_alpha,0.3,0.956406,0.4344618278543446,0.7443097129319955,0.5893857703931701,0.9976365911302656,0.7293247356017116
cifar10,5,resnet18,SIG,0.01,44.0,test_delta,44.0,0.976094,0.4067276290685027,0.7431005411333238,0.5749140851009132,0.9666342277213958,0.7236199403125347
cifar10,6,resnet18,blend,0.01,0.3,test_alpha,0.3,0.950937,0.4063282945113231,0.7474384282178218,0.5768833613645724,0.9969414708744612,0.718120725287335
cifar10,7,resnet18,adaptive_blend,0.005,0.25,test_alpha,0.25,0.774062,0.5026388203856478,0.8266607766836086,0.6646497985346282,0.8752954261087168,0.7151955699221
cifar10,8,vgg,blend,0.005,0.25,test_alpha,0.25,0.860156,0.5549551834240704,0.6663653880543634,0.6106602857392169,0.9717781176143472,0.7142470665210375
cifar10,9,vgg,upgd,0.01,6.0,test_eps,6.0,0.765,0.4951572095504173,0.8339620245245245,0.6645596170374709,0.6944251355484499,0.7112513545775959
cifar10,10,mobilenet,SIG,0.05,36.0,test_delta,36.0,0.731563,0.5395143712008659,0.8334555076911699,0.686484939446018,0.9399416098985124,0.708307480707799
tiny_imagenet,1,vgg,upgd,0.001,24.0,test_eps,24.0,0.89598,0.58761846788942,0.9179053974402156,0.7527619326648178,0.74591811102738,0.8181506433076671
tiny_imagenet,2,mobilenet,upgd,0.005,20.0,test_eps,20.0,0.965829,0.4806766035894498,0.9075208396917442,0.694098721640597,0.8230344134639538,0.8077227285063261
tiny_imagenet,3,resnet18,upgd,0.001,24.0,test_eps,24.0,0.921608,0.4809812964098005,0.9351088958562668,0.7080450961330336,0.798668676212007,0.8008330441679522
tiny_imagenet,4,resnet18,SIG,0.005,44.0,test_delta,44.0,0.984422,0.4420273174453097,0.907835972077584,0.6749316447614468,0.964832956543582,0.8008148976523585
tiny_imagenet,5,mobilenet,SIG,0.005,44.0,test_delta,44.0,0.853769,0.532943994222828,0.9655641196823332,0.7492540569525806,0.6760864104496358,0.7981044117561568
tiny_imagenet,6,mobilenet,SIG,0.005,36.0,test_delta,36.0,0.837186,0.5419201417803629,0.9644965185382296,0.7532083301592962,0.7079879427279578,0.7929800265693618
tiny_imagenet,7,resnet18,upgd,0.005,10.0,test_eps,10.0,0.903518,0.4702358887781996,0.938996453138435,0.7046161709583173,0.7303441346395378,0.7917665143232857
tiny_imagenet,8,mobilenet,upgd,0.005,24.0,test_eps,24.0,0.932663,0.5387581596354083,0.8343285408745247,0.6865433502549665,0.7927656367746797,0.7908980601243585
tiny_imagenet,9,vgg,upgd,0.005,16.0,test_eps,16.0,0.907538,0.4977799919890001,0.8948448462370576,0.6963124191130289,0.8127354935945742,0.7880161051009654
tiny_imagenet,10,mobilenet,WaNet,0.01,0.8,test_s,0.8,0.863819,0.5205330348797231,0.9209807162534436,0.7207568755665834,0.8206480783722683,0.7858298148991213
mnistm,1,resnet18,upgd,0.05,20.0,test_eps,20.0,0.998465,0.6392288821709895,0.8524400710472602,0.7458344766091248,0.8890284757118928,0.8538552360689668
mnistm,2,mobilenet,upgd,0.005,20.0,test_eps,20.0,0.99986,0.6095914536802012,0.8707747835670279,0.7401831186236145,0.657035175879397,0.8506450042139356
mnistm,3,mobilenet,belt,0.02,0.2,test_mask_rate,0.2,1.0,0.5624271925309777,0.9092533553472518,0.7358402739391148,0.9828308207705192,0.8478202574126065
mnistm,4,mobilenet,upgd,0.05,12.0,test_eps,12.0,0.934673,0.6030382268394843,0.9211997404391992,0.7621189836393417,0.4671970965940815,0.8396221147477354
mnistm,5,mobilenet,blend,0.01,0.3,test_alpha,0.3,1.0,0.5799296596906012,0.860554778472025,0.7202422190813131,0.9829704075935232,0.8373730293236902
mnistm,6,mobilenet,adaptive_blend,0.01,0.2,test_alpha,0.2,0.956588,0.596027690896557,0.8537006260671599,0.7248641584818585,0.7356225572305974,0.8247589467664599
mnistm,7,mobilenet,upgd,0.05,10.0,test_eps,10.0,0.961195,0.5563660179564727,0.8846576141324118,0.7205118160444423,0.3837241764377442,0.8236303122702402
mnistm,8,mobilenet,belt,0.01,0.2,test_mask_rate,0.2,0.894612,0.5660861746384063,0.9552664692435576,0.760676321940982,0.8397543271915131,0.8222255382389254
mnistm,9,mobilenet,upgd,0.01,24.0,test_eps,24.0,1.0,0.5307828785697489,0.8631690533547466,0.6969759659622478,0.7822445561139029,0.8214329253237677
mnistm,10,mobilenet,upgd,0.005,16.0,test_eps,16.0,0.996371,0.5352702808748037,0.8597154284164858,0.6974928546456447,0.6434952540480179,0.820563767471762
