dataset,rank_in_dataset,arch,attack_type,poison_rate,train_param_value,test_param_type,test_param_value,transfer_rate,stealth_auc_avg,stealth_tpr_avg,stealth_mean,asr,tradeoff_hmean
cifar10,1,mobilenet,basic,0.01,0.8,test_alpha,0.8,1.0,0.0273159007367915,0.0044484655220353,0.0158821831294134,1.0,0.031267765875150046
cifar10,2,mobilenet,basic,0.01,0.9,test_alpha,0.9,1.0,0.0285147473609097,3.475601279023799e-05,0.01427475168684997,1.0,0.028147701918261287
cifar10,3,mobilenet,basic,0.05,0.9,test_alpha,0.9,1.0,0.0274652772449774,0.0001702740511608,0.0138177756480691,1.0,0.027258894014235008
cifar10,4,mobilenet,basic,0.05,0.8,test_alpha,0.8,1.0,0.0255174216554708,0.007194494647574,0.0163559581515224,1.0,0.032185491746945585
cifar10,5,mobilenet,basic,0.005,0.8,test_alpha,0.8,1.0,0.0353900043603339,0.0043234655220353,0.0198567349411846,1.0,0.03894024378302457
cifar10,6,mobilenet,basic,0.05,0.7,test_alpha,0.7,1.0,0.0385571793262063,0.0566756264771305,0.0476164029016684,1.0,0.09090427139128669
cifar10,7,mobilenet,basic,0.005,0.7,test_alpha,0.7,1.0,0.0433486682779938,0.0146850323230918,0.029016850300542803,1.0,0.05639723060330433
cifar10,8,mobilenet,basic,0.01,1.0,test_alpha,1.0,1.0,0.0226574257210877,0.0,0.01132871286054385,1.0,0.02240362152578577
cifar10,9,mobilenet,basic,0.05,0.6,test_alpha,0.6,1.0,0.0404934715171332,0.027062304497428,0.0337778880072806,1.0,0.06534844360502072
cifar10,10,vgg,basic,0.01,1.0,test_alpha,1.0,1.0,0.0245952512119257,0.0222499999999999,0.0234226256059628,1.0,0.045773124455000966
tiny_imagenet,1,vgg,basic,0.05,1.0,test_alpha,1.0,1.0,0.0519919966470565,0.20240625,0.12719912332352826,1.0,0.2256906001638534
tiny_imagenet,2,vgg,basic,0.05,0.8,test_alpha,0.8,1.0,0.0260357197014138,0.1222943120447124,0.0741650158730631,1.0,0.13808868242238
tiny_imagenet,3,vgg,basic,0.05,0.6,test_alpha,0.6,1.0,0.0602636546938049,0.1827530986535799,0.1215083766736924,0.9981160512434062,0.21668741705537126
tiny_imagenet,4,resnet18,WaNet,0.05,4.0,test_s,4.0,1.0,0.1637823288323718,0.5072951869261728,0.3355387578792723,0.998618437578498,0.5024770054776706
tiny_imagenet,5,vgg,basic,0.01,1.0,test_alpha,1.0,1.0,0.0424144547844899,0.192562653090064,0.11748855393727696,0.9998744034162272,0.2102724963460725
tiny_imagenet,6,vgg,basic,0.01,0.9,test_alpha,0.9,1.0,0.0185741753190538,0.0923875753579502,0.055480875338501996,1.0,0.1051290963859649
tiny_imagenet,7,vgg,basic,0.05,0.9,test_alpha,0.9,1.0,0.0253366505132556,0.1317153667420245,0.07852600862764005,1.0,0.1456172739451313
tiny_imagenet,8,mobilenet,blend,0.05,0.3,test_alpha,0.3,1.0,0.2970161684040536,0.8249784959758552,0.5609973321899544,0.9987440341622708,0.7187678295425656
tiny_imagenet,9,mobilenet,belt,0.01,0.2,test_mask_rate,0.2,1.0,0.0740143323819928,0.1908240040342915,0.13241916820814215,0.9962321024868124,0.23386952804352937
tiny_imagenet,10,vgg,WaNet,0.05,4.0,test_s,4.0,1.0,0.2042085173073378,0.5369187753036437,0.37056364630549077,0.9927153981411706,0.540746352501596
mnistm,1,vgg,belt,0.02,0.2,test_mask_rate,0.2,1.0,0.4173866932312829,0.7078448881973259,0.5626157907143045,0.908291457286432,0.7200948487242933
mnistm,2,vgg,basic,0.05,0.9,test_alpha,0.9,1.0,0.2110358147071946,0.256005288665629,0.23352055168641178,0.9864600781686208,0.37862450101403394
mnistm,3,vgg,belt,0.1,0.2,test_mask_rate,0.2,1.0,0.3144926916658092,0.548187359708193,0.4313400256870011,0.9949748743718592,0.6027079770650172
mnistm,4,vgg,belt,0.1,0.2,test_mask_rate,0.2,1.0,0.3205268733000433,0.6284959095707249,0.4745113914353841,0.9917643774427694,0.6436184816089677
mnistm,5,vgg,WaNet,0.05,1.0,test_s,1.0,1.0,0.4188776739169815,0.311466387216466,0.36517203056672376,0.996929089893914,0.5349831704582022
mnistm,6,vgg,WaNet,0.05,0.8,test_s,0.8,1.0,0.4493469894095436,0.5267139439927099,0.4880304667011267,0.9956728084868788,0.6559414980031432
mnistm,7,vgg,WaNet,0.05,1.2,test_s,1.2,1.0,0.4350866721516035,0.4020465418069585,0.418566606979281,0.9949748743718592,0.5901261243849291
mnistm,8,vgg,WaNet,0.05,0.6,test_s,0.6,1.0,0.422606880329282,0.5375285241980867,0.48006770226368434,0.9921831379117813,0.6487104630814475
mnistm,9,resnet18,WaNet,0.05,1.4,test_s,1.4,1.0,0.250983406648978,0.4463633610367656,0.34867338384287183,0.990926856504746,0.5170612663080393
mnistm,10,resnet18,WaNet,0.05,1.2,test_s,1.2,1.0,0.3042091248911887,0.4476697560202789,0.3759394404557338,0.9912060301507538,0.5464476551834526
